"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P11802","CDK4","CDK4","8","0.955","0.648","1.473","0.141","0.515"
"P06239","Lck","LCK","2","-0.901","0.62","-1.454","0.146","0.515"
"P33981","TTK","TTK","1","2.459","1.694","1.451","0.147","0.515"
"O75582","MSK1","RPS6KA5","6","0.66","0.457","1.445","0.148","0.515"
"Q9NYY3","PLK2","PLK2","1","2.298","1.633","1.408","0.159","0.542"
"Q9H4B4","PLK3","PLK3","6","0.529","0.377","1.401","0.161","0.542"
"Q9H2G2","SLK","SLK","1","-1.604","1.198","-1.339","0.181","0.597"
"Q02779","MLK2","MAP3K10","1","2.42","1.821","1.329","0.184","0.598"
"P31749","Akt1","AKT1","44","0.402","0.32","1.256","0.209","0.670"
"O94806","PRKD3","PRKD3","1","1.361","1.099","1.238","0.216","0.680"
"P35968","VEGFR2","KDR","1","1.925","1.613","1.194","0.233","0.721"
"P36507","MEK2","MAP2K2","3","-0.545","0.46","-1.186","0.236","0.721"
"Q05513","PKCZ","PRKCZ","6","-0.736","0.632","-1.165","0.244","0.734"
"Q13557","CAMK2D","CAMK2D","3","-1.524","1.316","-1.158","0.247","0.734"
"Q16512","PKN1","PKN1","6","-0.729","0.648","-1.125","0.261","0.764"
"Q13237","PKG2","PRKG2","5","0.581","0.523","1.11","0.267","0.767"
"Q16644","MAPKAPK3","MAPKAPK3","2","-0.597","0.55","-1.087","0.277","0.767"
"O15111","IKKA","CHUK","6","1.075","0.989","1.086","0.277","0.767"
"Q13164","ERK5","MAPK7","4","1.254","1.162","1.079","0.281","0.767"
"P08631","Hck","HCK","4","-0.775","0.719","-1.079","0.281","0.767"
"P53778","P38G","MAPK12","6","0.402","0.378","1.063","0.288","0.770"
"P42345","mTOR","MTOR","18","-0.555","0.523","-1.06","0.289","0.770"
"Q9BYP7","WNK3","WNK3","1","-2.467","2.392","-1.031","0.302","0.795"
"Q13177","PAK2","PAK2","4","0.761","0.76","1.002","0.316","0.821"
"Q5TCY1","TTBK1","TTBK1","3","-0.737","0.775","-0.951","0.341","0.860"
"P30530","AXL","AXL","2","-0.412","0.441","-0.934","0.351","0.860"
"Q12866","Mer","MERTK","2","-0.412","0.441","-0.934","0.351","0.860"
"Q9Y243","Akt3","AKT3","8","0.416","0.45","0.925","0.355","0.860"
"O75676","MSK2","RPS6KA4","2","0.823","0.89","0.924","0.355","0.860"
"P53355","DAPK1","DAPK1","3","-0.878","0.952","-0.922","0.357","0.860"
"Q14289","Pyk2","PTK2B","2","-0.883","1.002","-0.882","0.378","0.901"
"P49336","CDK8","CDK8","1","2.16","2.548","0.848","0.397","0.909"
"Q02750","MEK1","MAP2K1","4","-0.47","0.555","-0.847","0.397","0.909"
"Q13555","CAMK2G","CAMK2G","3","0.77","0.921","0.836","0.403","0.909"
"Q9Y463","DYRK1B","DYRK1B","1","-0.462","0.553","-0.836","0.403","0.909"
"Q13188","MST2","STK3","2","-1.2","1.448","-0.828","0.407","0.909"
"O60285","NuaK1","NUAK1","1","-0.998","1.252","-0.797","0.425","0.909"
"Q9H093","NuaK2","NUAK2","1","-0.998","1.252","-0.797","0.425","0.909"
"P45983","JNK1 iso2","MAPK8","20","0.278","0.353","0.788","0.431","0.909"
"Q96GX5","MASTL","MASTL","1","-2.026","2.583","-0.785","0.433","0.909"
"Q96GD4","AurB","AURKB","25","0.407","0.532","0.766","0.444","0.909"
"P48729","CK1A","CSNK1A1","8","-0.633","0.835","-0.758","0.449","0.909"
"Q13153","PAK1","PAK1","11","0.391","0.516","0.758","0.449","0.909"
"Q15208","NDR1","STK38","4","0.61","0.817","0.747","0.455","0.909"
"O43353","RIPK2","RIPK2","1","1.262","1.699","0.743","0.458","0.909"
"Q9BXM7","PINK1","PINK1","1","-3.636","4.993","-0.728","0.466","0.909"
"P14618","PKM","PKM","1","-0.271","0.379","-0.715","0.474","0.909"
"P16591","Fer","FER","1","-0.271","0.379","-0.715","0.474","0.909"
"P22455","FGFR4","FGFR4","1","-0.271","0.379","-0.715","0.474","0.909"
"P22607","FGFR3","FGFR3","1","-0.271","0.379","-0.715","0.474","0.909"
"P23458","JAK1","JAK1","1","-0.271","0.379","-0.715","0.474","0.909"
"Q15300","Ret iso3","RET","1","-0.271","0.379","-0.715","0.474","0.909"
"O60674","JAK2","JAK2","4","-0.3","0.443","-0.677","0.499","0.930"
"Q96SB4","SRPK1","SRPK1","2","1.222","1.82","0.672","0.502","0.930"
"Q9NWZ3","IRAK4","IRAK4","3","-0.387","0.582","-0.664","0.507","0.930"
"O00443","PIK3C2A","PIK3C2A","1","1.401","2.126","0.659","0.510","0.930"
"O43683","BUB1","BUB1","1","1.654","2.531","0.654","0.513","0.930"
"O14920","IKKB","IKBKB","8","0.494","0.762","0.648","0.517","0.930"
"Q96J92","WNK4","WNK4","1","1.407","2.196","0.641","0.522","0.930"
"P42684","Arg","ABL2","2","-0.986","1.557","-0.633","0.527","0.930"
"P24723","PKCH","PRKCH","4","-0.604","0.954","-0.633","0.527","0.930"
"Q9Y572","RIPK3","RIPK3","1","-1.599","2.55","-0.627","0.531","0.930"
"Q16566","CAMK4","CAMK4","2","-0.861","1.445","-0.596","0.551","0.952"
"P53779","JNK3","MAPK10","5","0.268","0.453","0.592","0.554","0.952"
"Q14012","CAMK1A","CAMK1","1","0.979","1.695","0.577","0.564","0.952"
"Q8TAS1","KIS","UHMK1","2","-1.033","1.811","-0.571","0.568","0.952"
"P22392","NME2","NME2","1","1.477","2.593","0.57","0.569","0.952"
"Q9Y3S1","WNK2","WNK2","3","1.005","1.78","0.565","0.572","0.952"
"P49841","GSK3B","GSK3B","37","-0.188","0.338","-0.558","0.577","0.952"
"P46020","PHKA1","PHKA1","1","1.466","2.653","0.553","0.580","0.952"
"Q05655","PKCD","PRKCD","19","0.215","0.407","0.528","0.598","0.955"
"P28482","ERK2","MAPK1","102","0.128","0.245","0.522","0.602","0.955"
"O75116","ROCK2","ROCK2","2","0.56","1.082","0.518","0.605","0.955"
"P06213","INSR","INSR","3","-0.533","1.051","-0.507","0.612","0.955"
"P17252","PKCA","PRKCA","59","-0.171","0.338","-0.507","0.612","0.955"
"Q02156","PKCE","PRKCE","5","-0.331","0.653","-0.506","0.613","0.955"
"Q00526","CDK3","CDK3","2","-0.175","0.363","-0.482","0.630","0.955"
"Q96KB5","PBK","PBK","2","-0.175","0.363","-0.482","0.630","0.955"
"Q86Y07","VRK2","VRK2","1","-1.229","2.553","-0.481","0.630","0.955"
"P27448","MARK3 iso3","MARK3","3","0.489","1.02","0.479","0.632","0.955"
"Q7KZI7","MARK2","MARK2","8","-0.379","0.808","-0.469","0.639","0.955"
"O95835","LATS1","LATS1","4","-0.314","0.672","-0.467","0.640","0.955"
"P43250","GRK6","GRK6","1","-1.188","2.607","-0.456","0.649","0.955"
"Q9HBH9","Mnk2","MKNK2","1","-1.138","2.509","-0.453","0.650","0.955"
"Q8TDC3","BRSK1","BRSK1","1","0.236","0.536","0.44","0.660","0.955"
"Q9BZL6","PRKD2","PRKD2","4","0.358","0.827","0.434","0.665","0.955"
"Q15418","p90RSK","RPS6KA1","18","-0.198","0.457","-0.432","0.666","0.955"
"P78368","CK1G2","CSNK1G2","1","0.549","1.32","0.416","0.677","0.955"
"Q9HCP0","CK1G1","CSNK1G1","1","0.549","1.32","0.416","0.677","0.955"
"Q9Y6M4","CK1G3","CSNK1G3","1","0.549","1.32","0.416","0.677","0.955"
"P49840","GSK3A","GSK3A","11","0.187","0.453","0.412","0.681","0.955"
"P49674","CK1E","CSNK1E","2","-0.543","1.337","-0.406","0.685","0.955"
"O76039","CDKL5","CDKL5","2","-0.879","2.214","-0.397","0.691","0.957"
"P23443","p70S6K","RPS6KB1","5","-0.263","0.68","-0.387","0.699","0.957"
"Q6P5Z2","PKN3","PKN3","3","0.495","1.295","0.382","0.702","0.957"
"Q9H2X6","HIPK2","HIPK2","8","0.234","0.626","0.374","0.709","0.957"
"O75385","ULK1","ULK1","1","-0.935","2.556","-0.366","0.715","0.957"
"Q99986","VRK1","VRK1","4","0.266","0.806","0.33","0.741","0.957"
"Q9UBS0","P70S6KB","RPS6KB2","1","0.145","0.444","0.327","0.743","0.957"
"Q8TD08","ERK7","MAPK15","3","-0.098","0.301","-0.326","0.744","0.957"
"P31751","Akt2","AKT2","14","-0.15","0.472","-0.318","0.750","0.957"
"P10721","Kit","KIT","1","-0.534","1.691","-0.316","0.752","0.957"
"O94921","CDK14","CDK14","4","0.328","1.07","0.306","0.759","0.957"
"O95747","OSR1","OXSR1","1","-0.769","2.563","-0.3","0.764","0.957"
"P11362","FGFR1","FGFR1","1","0.372","1.274","0.292","0.770","0.957"
"Q13554","CAMK2B","CAMK2B","3","0.234","0.827","0.284","0.777","0.957"
"A9UF07","BCR-ABL1","BCR/ABL","1","-0.242","0.862","-0.281","0.779","0.957"
"P07332","Fes","FES","1","-0.242","0.862","-0.281","0.779","0.957"
"Q9P289","MST4","STK26","1","0.469","1.699","0.276","0.783","0.957"
"Q9H4A3","WNK1","WNK1","2","-0.53","1.983","-0.267","0.789","0.957"
"Q04759","PKCT","PRKCQ","2","-0.408","1.54","-0.265","0.791","0.957"
"P51955","NEK2","NEK2","3","0.393","1.493","0.263","0.792","0.957"
"P04049","RAF1","RAF1","2","0.207","0.799","0.26","0.795","0.957"
"Q15139","PRKD1","PRKD1","12","0.152","0.599","0.253","0.800","0.957"
"Q9H0K1","QIK","SIK2","1","0.39","1.662","0.235","0.814","0.957"
"Q12851","GCK","MAP4K2","1","0.195","0.862","0.226","0.821","0.957"
"Q86V86","Pim3","PIM3","1","0.195","0.862","0.226","0.821","0.957"
"Q92918","HPK1","MAP4K1","1","0.195","0.862","0.226","0.821","0.957"
"Q9UEW8","STLK3","STK39","2","0.409","1.861","0.22","0.826","0.957"
"P51812","RSK2","RPS6KA3","14","-0.104","0.482","-0.216","0.829","0.957"
"AAA58698","NPM-ALK","NPM/ALK","1","1.066","4.993","0.214","0.831","0.957"
"O00141","SGK1","SGK1","12","-0.114","0.556","-0.205","0.838","0.957"
"Q9UGJ0","AMPKG2","PRKAG2","1","0.262","1.285","0.204","0.838","0.957"
"Q16584","MLK3","MAP3K11","1","-0.345","1.695","-0.203","0.839","0.957"
"Q13627","DYRK1A","DYRK1A","2","-0.258","1.317","-0.196","0.845","0.957"
"Q9P0L2","MARK1","MARK1","4","-0.279","1.433","-0.194","0.846","0.957"
"Q92630","DYRK2","DYRK2","11","0.13","0.688","0.189","0.850","0.957"
"P67870","CK2B","CSNK2B","2","-0.28","1.535","-0.182","0.855","0.958"
"P41279","Cot","MAP3K8","4","0.089","0.565","0.158","0.874","0.958"
"Q13043","MST1","STK4","2","0.213","1.448","0.147","0.883","0.958"
"Q9UHD2","TBK1","TBK1","2","0.212","1.547","0.137","0.891","0.958"
"O15530","PDK1","PDPK1","2","-0.129","0.975","-0.133","0.895","0.958"
"Q9P1W9","Pim2","PIM2","2","-0.177","1.343","-0.131","0.895","0.958"
"P19525","PKR","EIF2AK2","1","0.055","0.427","0.129","0.897","0.958"
"Q15349","RSK3","RPS6KA2","1","0.055","0.427","0.129","0.897","0.958"
"Q99558","Nik","MAP3K14","1","0.055","0.427","0.129","0.897","0.958"
"Q9UQB9","AurC","AURKC","1","0.055","0.427","0.129","0.897","0.958"
"Q9Y478","AMPKB1","PRKAB1","2","-0.093","0.79","-0.117","0.907","0.963"
"Q13882","Brk","PTK6","2","0.084","0.756","0.111","0.911","0.963"
"P45984","JNK2 iso2","MAPK9","16","-0.034","0.328","-0.105","0.917","0.964"
"Q96BR1","SGK3","SGK3","1","0.072","0.742","0.097","0.923","0.965"
"P52333","JAK3","JAK3","1","-0.227","2.528","-0.09","0.928","0.966"
"P15056","BRAF","BRAF","3","0.023","0.941","0.024","0.981","0.995"
"Q6IQ55","TTBK2","TTBK2","1","0.057","2.557","0.022","0.982","0.995"
"Q9NRM7","LATS2","LATS2","2","-0.011","0.761","-0.014","0.989","0.995"
"Q8IW41","MAPKAPK5","MAPKAPK5","2","-0.022","1.826","-0.012","0.990","0.995"
"Q16539","P38A","MAPK14","26","-0.004","0.371","-0.012","0.990","0.995"
"Q9BWU1","CDK19","CDK19","1","-0.02","2.581","-0.008","0.994","0.995"
"P21675","TAF1","TAF1","1","-0.013","1.967","-0.007","0.995","0.995"
"O43318","TAK1","MAP3K7","7","-0.005","0.88","-0.006","0.995","0.995"
