"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P24941","CDK2","CDK2","81","1.533","0.317","4.838","0.00000131","0.000269"
"P06493","CDK1","CDK1","116","1.205","0.26","4.637","0.00000354","0.000363"
"P07948","LYN","LYN","7","-2.533","0.699","-3.623","0.000291","0.0199"
"P27361","ERK1","MAPK3","77","0.788","0.242","3.252","0.00115","0.0502"
"O15264","P38D","MAPK13","4","2.086","0.646","3.231","0.00123","0.0502"
"Q9HC98","NEK6","NEK6","6","2.509","0.792","3.166","0.00154","0.0502"
"P68400","CK2A1","CSNK2A1","71","1.125","0.359","3.136","0.00172","0.0502"
"Q9UM73","ALK","ALK","3","-2.996","0.969","-3.092","0.00199","0.0509"
"P12931","Src","SRC","32","-1.267","0.425","-2.979","0.00289","0.0659"
"P19784","CK2A2","CSNK2A2","13","1.507","0.524","2.875","0.00404","0.0828"
"P54646","AMPKA2","PRKAA2","5","2.06","0.792","2.601","0.00929","0.157"
"P09619","PDGFRB","PDGFRB","1","-3.286","1.276","-2.576","0.00999","0.157"
"Q13535","ATR","ATR","6","1.967","0.771","2.552","0.0107","0.157"
"P07949","Ret","RET","3","-1.115","0.439","-2.538","0.0112","0.157"
"O00311","CDC7","CDC7","5","1.832","0.725","2.529","0.0115","0.157"
"P06241","Fyn","FYN","10","-1.339","0.538","-2.488","0.0128","0.165"
"P41743","PKCI","PRKCI","4","2.796","1.146","2.44","0.0147","0.177"
"O00418","EEF2K","EEF2K","6","2.377","0.988","2.405","0.0162","0.180"
"O96017","Chk2","CHEK2","5","2.091","0.873","2.394","0.0167","0.180"
"P17612","PKACA","PRKACA","92","-0.662","0.285","-2.321","0.0203","0.182"
"Q15759","P38B","MAPK11","6","0.842","0.363","2.317","0.0205","0.182"
"O14757","Chk1","CHEK1","33","1.003","0.438","2.291","0.0220","0.182"
"P49137","MAPKAPK2","MAPKAPK2","14","1.293","0.568","2.278","0.0227","0.182"
"P07947","Yes","YES1","1","-1.698","0.747","-2.272","0.0231","0.182"
"P08581","Met","MET","1","-1.698","0.747","-2.272","0.0231","0.182"
"P51813","Etk","BMX","1","-1.698","0.747","-2.272","0.0231","0.182"
"P53350","PLK1","PLK1","25","1.111","0.499","2.224","0.0261","0.198"
"Q13315","ATM","ATM","15","1.21","0.561","2.155","0.0311","0.228"
"Q16659","ERK3","MAPK6","1","3.606","1.69","2.134","0.0329","0.232"
"Q00535","CDK5","CDK5","24","-0.9","0.432","-2.082","0.0373","0.255"
"P50750","CDK9","CDK9","11","1.16","0.575","2.019","0.0435","0.288"
"Q9NYV4","CDK12","CDK12","5","1.516","0.797","1.903","0.0571","0.366"
"P05771","PKCB iso2","PRKCB","7","-1.85","1.006","-1.839","0.0660","0.400"
"Q00534","CDK6","CDK6","8","0.812","0.445","1.826","0.0678","0.400"
"P50613","CDK7","CDK7","9","0.816","0.451","1.811","0.0702","0.400"
"P09769","FGR","FGR","2","-2.403","1.328","-1.81","0.0703","0.400"
"P48730","CK1D","CSNK1D","4","-1.405","0.801","-1.756","0.0792","0.439"
"P00533","EGFR","EGFR","9","-1.051","0.606","-1.735","0.0827","0.446"
"Q16513","PKN2","PKN2","1","-2.844","1.707","-1.666","0.0958","0.483"
"P78527","DNAPK","PRKDC","7","1.074","0.647","1.66","0.0969","0.483"
"Q13464","ROCK1","ROCK1","8","-1.386","0.842","-1.646","0.0997","0.483"
"Q5S007","LRRK2","LRRK2","1","-4.077","2.518","-1.619","0.105","0.483"
"P51617","IRAK1","IRAK1","1","0.604","0.373","1.617","0.106","0.483"
"Q13233","MEKK1","MAP3K1","1","0.604","0.373","1.617","0.106","0.483"
"Q9UBE8","NLK","NLK","1","0.604","0.373","1.617","0.106","0.483"
"Q14164","IKKE","IKBKE","3","-1.445","0.911","-1.585","0.113","0.503"
"P43405","Syk","SYK","4","-1.633","1.047","-1.56","0.119","0.508"
"Q13976","PKG1 iso2","PRKG1","9","-0.974","0.63","-1.547","0.122","0.508"
"P11309","Pim1","PIM1","7","-1.048","0.686","-1.529","0.126","0.508"
"P00519","Abl","ABL1","7","-1.15","0.753","-1.528","0.127","0.508"
"Q00536","CDK16","CDK16","2","1.364","0.895","1.524","0.128","0.508"
"P35269","GTF2F1","GTF2F1","2","2.033","1.347","1.509","0.131","0.508"
"O14965","AurA","AURKA","12","-0.993","0.661","-1.502","0.133","0.508"
"Q9UQM7","CAMK2A","CAMK2A","11","-1.278","0.853","-1.499","0.134","0.508"
"Q13131","AMPKA1","PRKAA1","19","0.755","0.512","1.474","0.140","0.515"
