citations,Symbol,Synonyms
157,ATP1A2,DEE98|FARIMPD|FHM2|MHP2
144,ATP1A3,AHC2|ATP1A1|CAPOS|DEE99|DYT12|RDP
42,ATP12A,ATP1AL1|H-K-ATPase|HK
35,ATP1A4,ATP1A1|ATP1AL2
155,ATP1B1,ATP1B
55,ATP1B2,AMOG
94,ATP1B3,ATPB-3|CD298
1,ATP1B3P1,-
2,ATP1B1P1,ATP1BL1
43,FXYD2,ATP1G1|HOMG2
94,ATP2A1,ATP2A|SERCA1
399,ATP2A2,ATP2B|DAR|DD|SERCA2
68,ATP2A3,SERCA3
181,ATP2B1,MRD66|PMCA1|PMCA1kb
73,ATP2B2,DFNA82|PMCA2|PMCA2a|PMCA2i
51,ATP2B3,CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1
155,ATP2B4,ATP2B2|MXRA1|PMCA4|PMCA4b|PMCA4x
41,ATP4A,ATP6A
29,ATP4B,ATP6B
350,ATP5F1A,ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MC5DN4A|MC5DN4B|MOM2|OMR|ORM|hATP1
114,ALDH7A1,ATQ1|EPD|EPEO4|PDE
1,ATP5F1AP2,ATP5A1P2|ATP5AP2
325,ATP5F1B,ATP5B|ATPMB|ATPSB|HEL-S-271|HUMOP2
3,ATP5F1BP1,ATP5BL1|ATP5BP1|ATPMBL1|ATPSBL1
187,ATP5F1C,ATP5C|ATP5C1|ATP5CL1
72,ATP5F1D,ATP5D|MC5DN5
47,ATP5F1E,ATP5E|ATPE|MC5DN3
114,ATP5PB,ATP5F1|PIG47
41,ATP5MC1,ATP5A|ATP5G|ATP5G1
27,ATP5MC2,ATP5A|ATP5G2
26,ATP5MC3,ATP5G3|DYTSPG|P3
1,ATP5MC2P1,ATP5G2P1|ATP5GP1
64,ATP5ME,ATP5I|ATP5K
80,ATP5PF,ATP5|ATP5A|ATP5J|ATPM|CF6|F6
134,ATP6V1A,ARCL2D|ATP6A1|ATP6V1A1|DEE93|HO68|IECEE3|VA68|VPP2|Vma1
87,ATP6V1B1,ATP6B1|DRTA2|RTA1B|VATB|VMA2|VPP3
107,ATP6V1B2,ATP6B1B2|ATP6B2|DOOD|HO57|VATB|VPP3|Vma2|ZLS2
79,ATP6V0C,ATP6C|ATP6L|ATPL|EPEO3|VATL|VPPC|Vma3
62,ATP6V1C1,ATP6C|ATP6D|VATC|Vma5
80,ATP6V1E1,ARCL2C|ATP6E|ATP6E2|ATP6V1E|P31|Vma4
35,ATP6V0B,ATP6F|HATPL|VMA16
37,ATP6V1G2,ATP6G|ATP6G2|NG38|VMA10
84,ATP6V0A1,ATP6N1|ATP6N1A|DEE104|NEDEBA|Stv1|VPP1|Vph1|a1
107,ATP6AP1,16A|ATP6IP1|ATP6S1|Ac45|CF2|VATPS1|XAP-3|XAP3
203,ATP7A,DSMAX|HMNX|MK|MNK|SMAX3
160,ATP5PO,ATP5O|ATPO|HMC08D05|MC5DN7|OSCP
379,ATP7B,PWD|WC1|WD|WND
2,ALDH7A1P1,ATQL1
1,ALDH7A1P2,ATQL2
1,ALDH7A1P3,ATQL3
2,ALDH7A1P4,ATQL4
608,ATR,FCTCS|FRP1|MEC1|SCKL|SCKL1
344,ATRX,JMS|MRX52|RAD54|RAD54L|XH2|XNP|ZNF-HX
110,KIF1A,ATSV|C2orf20|HSN2C|MRD9|NESCAVS|SPG30|UNC104
35,AUH,-
114,AUP1,-
324,AVP,ADH|ARVP|AVP-NPII|AVRP|VP
108,AVPR1A,AVPR
49,AVPR1B,AVPR3|V1bR|VPR3
165,AVPR2,ADHR|DI1|DIR|DIR3|NDI|NDI1|V2R
394,AXL,ARK|AXL3|JTK11|Tyro7|UFO
59,AZF1,AZF|AZFA|SP3
194,AZGP1,ZA2G|ZAG
82,AZU1,AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP
457,B2M,IMD43
1,B2MR,-
30,BAAT,BACAT|BACD1|BAT|HCHO
180,BACH1,BACH-1|BTBD24
314,BAD,BBC2|BCL2L8
194,BAG1,BAG-1|HAP|RAP46
11,BAGE,BAGE1|CT2.1
48,ADGRB1,BAI1|GDAIF
26,ADGRB2,BAI2
31,ADGRB3,BAI3
359,BAK1,BAK|BAK-LIKE|BCL2L7|CDN1
25,NKX3-2,BAPX1|NKX3.2|NKX3B|SMMD
299,BARD1,-
1105,BAX,BCL2L4
83,BBS1,BBS2L2
63,BBS2,BBS|RP74
67,BBS4,-
85,BCAT1,BCATC|BCT1|ECA39|MECA39|PNAS121|PP18
51,BCAT2,BCAM|BCATM|BCT2|HVLI|PP18
270,BCHE,BCHED|CHE1|CHE2|E1
101,BCKDHA,BCKDE1A|MSU|MSUD1|OVD1A
73,BCKDHB,BCKDE1B|BCKDH
1768,CCND1,BCL1|D11S287E|PRAD1|U21B31
2197,BCL2,Bcl-2|PPP1R50
110,BCL2A1,ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1
763,BCL2L1,BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52
124,BCL2L2,BCL-W|BCL2-L-2|BCLW|PPP1R51
3,BAK1P1,BAK2|BCL2L7P1|Bak-2
1,BAK1P2,BAK3|BAK3P|BCL2L7P2
141,BCL3,BCL4|D19S37
3,BCL5,-
430,BCL6,BCL5|BCL6A|LAZ3|ZBTB27|ZNF51
59,BCL7A,BCL7|SMARCJ1
6,NBEAP1,BCL8|BCL8A
85,BCL9,LGS
77,TNFRSF17,BCM|BCMA|CD269|TNFRSF13A
64,HCN2,BCNG-2|BCNG2|EIG17|FEB2|GEFSP11|HAC-1
30,OPN1SW,BCP|BOP|CBT
489,BCR,ALL|BCR1|CML|D22S11|D22S662|PHL
2,BCRP4,BCR-4|BCR4|BCRL4
71,BCS1L,BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1
44,BCYRN1,BC200|BC200a|LINC00004|NCRNA00004
2,BCYRN1P1,BC200b
2,BCYRN1P2,BC200g
42,BDH1,BDH|SDR9C1
112,BDKRB1,B1BKR|B1R|BKB1R|BKR1|BRADYB1
233,BDKRB2,B2R|BK-2|BK2|BKR2|BRB2
2513,BDNF,ANON2|BULN2
214,CFB,AHUS4|ARMD14|BF|BFD|CFAB|CFBD|FB|FBI12|GBG|H2-Bf|PBF2
29,BFSP1,CP115|CP94|CTRCT33|LIFL-H
289,BGLAP,BGP|OC|OCN
161,BGN,DSPG1|MRLS|PG-S1|PGI|SEMDX|SLRR1A
275,CEACAM1,BGP|BGP1|BGPI
104,BHMT,BHMT1|HEL-S-61p
65,BICD1,BICD|bic-D
262,BID,FP497
98,BIK,BIP1|BP4|NBK
203,PRDM1,BLIMP1|PRDI-BF1
118,BLK,MODY11
369,BLM,BS|MGRISCE1|RECQ2|RECQL2|RECQL3
109,BLMH,BH|BMH
138,CXCR5,BLR1|CD185|MDR15
95,BLVRA,BLVR|BVR|BVRA|BVRalpha
52,BLVRB,BVRB|FLR|HEL-S-10|SDR43U1
39,BNC1,BNC|BSN1|HsT19447|POF16|bn1
595,BMI1,FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1
