citations,Symbol,Synonyms
38,A1BG,A1B|ABG|GAB|HYST2477
303,A2M,A2MD|CPAMD5|FWP007|S863-7
6,A2MP1,A2MP
255,NAT1,AAC1|MNAT|NAT-1|NATI
740,NAT2,AAC2|NAT-2|PNAT
5,NATP,AACP|NATP1
227,SERPINA3,AACT|ACT|GIG24|GIG25
33,AADAC,CES5A1|DAC
67,AAMP,-
45,AANAT,DSPS|SNAT
124,AARS1,AARS|CMT2N|DEE29|EIEE29|HDLS2|TTD8
2,AAVS1,AAV
55,ABAT,GABA-AT|GABAT|NPD009
837,ABCA1,ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD
63,ABCA2,ABC2|IDPOGSA
113,ABCA3,ABC-C|ABC3|EST111653|LBM180|SMDP3
93,ABCB7,ABC7|ASAT|Atm1p|EST140535
150,ABCF1,ABC27|ABC50
315,ABCA4,ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1
897,ABL1,ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl
56,AOC1,ABP|ABP1|DAO|DAO1|KAO
126,ABL2,ABLL|ARG
311,ABO,A3GALNT|A3GALT1|GTB|NAGAT
52,ABR,MDB
66,ACAA1,ACAA|Lnc-Myd88|PTHIO|THIO
230,ACACA,ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1
111,ACACB,ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275
39,ACADL,ACAD4|LCAD
155,ACADM,ACAD1|MCAD|MCADH
66,ACADS,ACAD3|SCAD
76,ACADSB,2-MEBCAD|ACAD7|SBCAD
127,ACADVL,ACAD6|LCACD|VLCAD
156,ACAT1,ACAT|MAT|T2|THIL
62,ACAT2,-
53,ASIC2,ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1
114,ASIC1,ACCN2|ASIC|BNaC2
232,ACHE,ACEE|ARACHE|N-ACHE|YT
1,ACLS,-
251,ACLY,ACL|ATPCL|CLATP
110,ACO1,ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1
41,ACR,SPGF87
111,ACO2,ACONM|HEL-S-284|ICRD|OCA8|OPA9
71,ACOX1,ACOX|AOX|MITCH|PALMCOX|SCOX
177,ACP1,HAAP|LMW-PTP|LMWPTP
55,ACP2,LAP
110,ACP5,HPAP|TRACP5a|TRACP5b|TRAP|TRAcP|TrATPase
103,ACP3,5'-NT|ACP-3|ACPP|TM-PAP
19,ACRV1,D11S4365|SP-10|SPACA2
434,ACTA1,ACTA|ASMA|CFTD|CFTD1|CFTDM|CMYP2A|CMYP2B|CMYP2C|MPFD|NEM1|NEM2|NEM3|SHPM
292,ACTA2,ACTSA
724,ACTB,BKRNS|BNS|BRWS1|CSMH|DDS1|PS1TP5BP1|THC8
3,ACTBP2,-
1,ACTBP3,-
1,ACTBP4,-
2,ACTBP7,-
5,ACTBP8,ACTBP2
1,ACTBP9,-
246,ACTC1,ACTC|ASD5|CMD1R|CMH11|LVNC4
350,ACTG1,ACT|ACTG|DFNA20|DFNA26|HEL-176
112,ACTG2,ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1
2,ACTG1P1,ACT1GP1|ACTGP1|HY-psi-gamma-AC6
2,ACTG1P2,ACTGP2|ACTL2
3,ACTG1P3,ACTGP3|dJ545L17.4
1,ACTG1P6,ACTGP6
1,ACTG1P7,ACTGP7
1,ACTG1P8,ACTGP8
365,ACTN4,ACTININ-4|FSGS|FSGS1
1,ACTG1P9,ACTGP9
1,ACTG1P10,ACTGP10|ACTL1|ACTP1
232,ACTL6A,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K|SMARCN1
317,ACTN1,BDPLT15
151,ACTN2,CMD1AA|CMH23|CMYP8|MPD6|MYOCOZ
262,ACTN3,ACTN3D
184,ACVR1,ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI
111,ACVR1B,ACTRIB|ACVRLK4|ALK4|SKR2
132,ACVR2A,ACTRII|ACVR2
91,ACVR2B,ACTRIIB|ActR-IIB|HTX4
192,ACVRL1,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I
66,ACY1,ACY-1|ACY1D|HEL-S-5
22,ACYP1,ACYPE
55,ACYP2,ACYM|ACYP
267,ADA,ADA1
69,ADAM8,CD156|CD156a|MS2
408,ADAM10,AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz
473,ADAR,ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136
120,ADARB1,ADAR2|DRABA2|DRADA2|NEDHYMS|RED1
40,ADARB2,ADAR3|RED2
3,ADCP1,-
54,ADCY1,AC1|DFNB44
49,ADCY2,AC2|HBAC2
73,ADCY3,AC-III|AC3|BMIQ19
82,ADCY5,AC5|DSKOD|FDFM
75,ADCY6,AC6|LCCS8
48,ADCY7,AC7
51,ADCY8,AC8|ADCY3|HBAC1
76,ADCY9,AC9|ACIX
160,ADCYAP1,PACAP
97,ADCYAP1R1,PAC1|PAC1R|PACAPR|PACAPRI
277,ADD1,ADDA
80,ADD2,ADDB
97,ADD3,ADDL|CPSQ3
2,ADFN,ALDS
134,PLIN2,ADFP|ADRP
54,ADH1A,ADH1
418,ADH1B,ADH2|HEL-S-117
235,ADH1C,ADH3
73,ADH4,ADH-2|HEL-S-4
96,ADH5,ADH-3|ADHX|AMEDS|BMFS7|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p
29,ADH6,ADH-5
65,ADH7,ADH4
55,ADK,AK
394,ADM,AM|PAMP
144,ADORA1,RDC7
403,ADORA2A,A2aR|ADORA2|RDC8
140,ADORA2B,ADORA2
1,ADORA2BP1,ADORA2BP
112,ADORA3,A3AR
16,ADPRH,ARH1|hARH1
1485,PARP1,ADPRT|ADPRT
75,PARP4,ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193
1,PARP1P1,ADPRTP1|PPOLP1
1,PARP1P2,ADPRTP2|PPOLP2
65,ADRA1D,ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2
86,ADRA1B,ADRA1|ALPHA1BAR
141,ADRA1A,ADRA1C|ADRA1L1|ALPHA1AAR
238,ADRA2A,ADRA2|ADRA2R|ADRAR|ALPHA2AAR|FPLD8|ZNF32
133,ADRA2B,ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR
101,ADRA2C,ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR
388,ADRB1,ADRB1R|B1AR|BETA1AR|FNSS2|RHR
1120,ADRB2,ADRB2R|ADRBR|ARB2|B2AR|BAR|BETA2AR
376,ADRB3,BETA3AR
271,GRK2,ADRBK1|BARK1|BETA-ARK1
63,GRK3,ADRBK2|BARK2
102,ADSL,AMPS|ASASE|ASL
54,ADSS2,ADEH|ADSS|ADSS
245,AP2A1,ADTAA|AP2-ALPHA|CLAPA1
188,AP2A2,ADTAB|CLAPA2|HIP-9|HIP9|HYPJ
146,AP1B1,ADTB1|AP105A|BAM22|CLAPB2|KIDAR
228,AP2B1,ADTB2|AP105B|AP2-BETA|CLAPB1
148,AP1G1,ADTG|CLAPG1|USRISD
51,AEBP1,ACLP
81,TLE5,AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5
16,CRISP1,AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP
1,AF8T,-
2,AFA,-
13,AFD1,AFDN
12,AFG3L1P,AFG3|AFG3L1
49,AFM,ALB2|ALBA|ALF
380,AFP,AFPD|FETA|HPAFP
67,AGA,AGU|ASRG|GA
175,ACAN,AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD
1013,AGER,RAGE|SCARJ1|sRAGE
99,AGL,GDE
1,AGMX2,IMD6|XLA2
71,AGRP,AGRT|ART|ASIP2
348,JAG1,AGS|AGS1|AHD|AWS|CD339|CMT2HH|DCHE|HJ1|JAGL1
1144,AGT,ANHU|SERPINA8|hFLT1
985,AGTR1,AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|ATR1|HAT1R
247,AGTR2,AT2|ATGR2|MRX88
139,APLNR,AGTRL1|APJ|APJR|HG11
120,AGXT,AGT|AGT1|AGXT1|PH1|SPAT|SPT|Ser-PyrAT|TLH6
164,NR0B1,AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2
207,AHCY,SAHH|adoHcyase
2,AIC,-
772,AHR,RP85|bHLHe76
376,AHSG,A2HS|AHS|APMR1|FETUA|HSGA
99,AIF1,AIF-1|IBA1|IRT-1|IRT1
1,AIH3,-
39,CRYBG1,AIM1|ST4
64,AK1,HTL-S-58j
94,AK2,ADK2
57,AK4,AK
6,AK4P1,AK3P1
3643,AKT1,AKT|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA
386,AKT2,HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA
148,ALAD,ALADH|PBGS
75,ALAS1,ALAS|ALAS-H|ALAS3|ALASH|MIG4
73,ALAS2,ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA
734,ALB,FDAHT|HSA|PRO0883|PRO0903|PRO1341
201,ALCAM,CD166|MEMD
169,ABCD1,ABC42|ALD|ALDP|AMN
384,ALDH1A1,ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1
805,ALDH2,ALDH-E2|ALDHI|ALDM
80,ALDH3A1,ALDH3|ALDHIII
115,ALDH1B1,ALDH5|ALDHX
95,ALDH1A3,ALDH1A6|ALDH6|MCOP8|RALDH3
37,ALDH3B1,ALDH4|ALDH7
20,ALDH3B2,ALDH8
64,ALDH9A1,ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH
161,ALDH3A2,ALDH10|FALDH|SLS
33,ABCD2,ABC39|ALDL1|ALDR|ALDRP|hALDR
287,ALDOA,ALDA|GSD12|HEL-S-87p
2,ALDOAP2,-
75,ALDOB,ALDB|ALDO2
103,ALDOC,ALDC
223,AKR1B1,ADR|ALDR1|ALR2|AR
2,AKR1B1P2,ALDRP
820,ALK,ALK1|CD246|NBLST3
168,ALOX12,12-LOX|12S-LOX|LOG12
334,ALOX5,5-LO|5-LOX|5LPG|LOG5
154,ALOX5AP,FLAP
57,ALOX12B,12R-LOX|ARCI2
1,ALOX12P1,ALOX12P
7,ALOX12P2,ALOX12E
225,ALOX15,12-LOX|15-LOX|15-LOX-1|LOG15
63,ALOX15B,15-LOX-2
72,ALPI,IAP
296,ALPL,AP-TNAP|APTNAP|HOPS|HPPA|HPPC|HPPI|HPPO|TNALP|TNAP|TNS-ALP|TNSALP
110,ALPP,ALP|ALPI|IAP|PALP|PLAP|PLAP-1
49,ALPG,ALPPL|ALPPL2|GCAP
1,ALS3,ALS6
20,ALX3,FND|FND1
36,AMBN,AI1F
132,AMBP,A1M|EDC1|HCP|HI30|IATIL|ITI|ITIL|ITILC|UTI
1,AMCN,AMC|AMC1|AMCN1
63,AMD1,ADOMETDC|AMD|SAMDC
1,AMD1P2,AMD|AMD2|AMDP1|AMDPX|AMDPY
64,AMELX,AI1E|AIH1|ALGN|AMG|AMGL|AMGX
18,AMELY,AMGL|AMGY
174,AMFR,GP78|RNF45|SPG89
414,AMH,MIF|MIS
87,AMHR2,AMHR|MISR2|MISRII|MRII
100,AMPD1,MAD|MADA|MMDD
62,AMPD2,AMPD|PCH9|SPG63
33,AMPD3,-
86,AMPH,AMPH1
237,BIN1,AMPH2|AMPHL|CNM2|SH3P9
39,AMT,GCE|GCE2|GCST|GCVT|NKH
108,AMY1A,AMY1
28,AMY1B,AMY1
31,AMY1C,AMY1
58,AMY2A,AMY2|PA
36,AMY2B,AMY2|AMY3|HXA
5,AMYP1,AMY2P
5,ANCR,-
224,ANG,ALS9|HEL168|RAA1|RNASE4|RNASE5
329,ANGPT1,AGP1|AGPT|AGPT-1|ANG1|HAE5
520,ANGPT2,AGPT2|ANG2|LMPHM10
121,ANK1,ANK|SPH1|SPH2|ankyrin-1
125,ANK2,ANK-2|CFAP87|FAP87|LQT4|brank-2
161,ANK3,ANKYRIN-G|MRT37
1,ANOP1,MCOPS4
176,ANPEP,AP-M|AP-N|APN|CD13|GP150|LAP1|P150|PEPN|hAPN
198,SLC25A4,AAC1|ANT|ANT
293,SLC25A5,2F1|AAC2|ANT2|T2|T3
223,SLC25A6,AAC3|ANT|ANT
467,ANXA1,ANX1|LPC1
714,ANXA2,ANX2|ANX2L4|CAL1H|HEL-S-270|LIP2|LPC2|LPC2D|P36|PAP-IV
3,ANXA2P1,ANX2L1|ANX2P1|LPC2A
41,ANXA2P2,ANX2L2|ANX2P2|LPC2B
3,ANXA2P3,ANX2L3|ANX2P3|LIP2|LPC2C
101,ANXA3,ANX3
117,ANXA4,ANX4|HEL-S-274|P32.5|PAP-II|PIG28|PP4-X|ZAP36
313,ANXA5,ANX5|CPB-I|ENX2|HEL-S-7|PP4|RPRGL3|VAC-alph
170,ANXA6,ANX6|CBP68|CPB-II|p68|p70
116,ANXA7,ANX7|SNX|SYNEXIN
121,ANXA11,ALS23|ANX11|CAP-50|CAP50|IBMWMA
27,ANXA13,ANX13|ISA
21,AOAH,-
16,AOC2,DAO2|RAO|SSAO
50,AOX1,AO|AOH1
219,APAF1,APAF-1|CED4
36,NUDT2,APAH1|IDDPN
28,APOF,Apo-F|LTIP
62,APBA1,D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA
68,APBA2,D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L
154,APBB1,FE65|MGC:9072|RIR
49,APBB2,FE65L|FE65L1
993,APC,BTPS2|DESMD|DP2|DP2.5|DP3|GS|PPP1R46
110,APCS,HEL-S-92n|PTX2|SAP
220,AIRE,AIRE1|APECED|APS1|APSI|PGA1
75,APEH,AARE|ACPH|APH|D3F15S2|D3S48E|DNF15S2|OPH
721,APEX1,APE|APE1|APEN|APEX|APX|HAP1|REF1
328,BIRC2,API1|HIAP2|Hiap-2|MIHB|RNF48|c-IAP1|cIAP1
297,BIRC3,AIP1|API2|CIAP2|HAIP1|HIAP1|IAP-1|MALT2|MIHC|RNF49|c-IAP2
654,XIAP,API3|BIRC4|IAP-3|ILP1|MIHA|XLP2|hIAP-3|hIAP3
1344,BIRC5,API4|EPR-1
61,APLP1,APLP
117,APLP2,APLP-2|APPH|APPL2|CDEBP
1115,APOA1,HPALP2|apo(a)
189,APOA2,Apo-AII|ApoA-II|apoAII
223,APOA4,-
922,APOB,FCHL2|FLDB|LDLCQ4|apoB-100|apoB-48
57,APOBEC1,APO1|APOBEC-1|BEDP|CDAR1|HEPR
211,APOC1,Apo-CI|ApoC-I|apo-CIB|apoC-IB
9,APOC1P1,-
83,AQP8,AQP-8
145,APOC2,APO-CII|APOC-II
457,APOC3,APOCIII|Apo-C3|ApoC-3
38,APOC4,APO-CIV|APOC-IV
135,APOD,-
5108,APOE,AD2|APO-E|ApoE4|LDLCQ5|LPG
253,APOH,B2G1|B2GP1|BG
3049,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4
112,APRT,AMP|APRTD
474,KLK3,APS|KLK2A1|PSA|hK3
1240,FAS,ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6
699,FASLG,ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6|TNLG1A
32,SHROOM2,APXL|HSAPXL
365,AQP1,AQP-CHIP|CHIP28|CO
194,AQP2,AQP-CD|NDI2|WCH-CD
223,AQP3,AQP-3|GIL
357,AQP4,MIWC|MLC4|WCH4|hAQP4
183,AQP5,AQP-5|PPKB
12,AQP6,AQP2L|KID
75,AQP7,AQP7L|AQPap|GLYCQTL
115,AQP9,AQP-9|HsT17287|SSC1|T17287
2681,AR,AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM
148,ABCC6,ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7
138,ARAF,A-RAF|ARAF1|PKS2|RAFA1
151,ARCN1,COPD|SRMMD|SSMG
60,TRIM23,ARD1|ARFD1|RNF46
227,AREG,AR|AREGB|CRDGF|SDGF
276,ARF1,PVNH8
105,ARF3,-
162,ARF4,ARF2
24,ARL4D,ARF4L
1,ARF4P1,ARF4P
93,ARF5,-
304,ARF6,-
259,ARG1,-
112,ARG2,-
1137,RHOA,ARH12|ARHA|EDFAOB|RHO12|RHOH12
176,RHOB,ARH6|ARHB|MST081|MSTP081|RHOH6
203,RHOC,ARH9|ARHC|H9|RHOH9
93,RND3,ARHE|Rho8|RhoE|memB
101,RHOG,ARHG
120,ARHGAP1,CDC42GAP|RHOGAP|RHOGAP1|p50rhoGAP
45,ARHGAP4,C1|RGC1|RhoGAP4|SrGAP4|p115
61,ARHGAP5,GFI2|RhoGAP5|p190-B|p190BRhoGAP
20,ARHGAP6,RHOGAP6|RHOGAPX-1
203,ARHGDIA,GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1
99,ARHGDIB,D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2
23,ARHGDIG,RHOGDI-3
54,RHOH,ARHH|TTF
100,ARL1,ARFL1
39,PHOX2A,ARIX|CFEOM2|FEOM2|NCAM2|PMX2A
87,ARL2,ARFL2|MRCS1
66,ARL3,ARFL3|JBTS35|RP83
306,ARNT,ARNT1|HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2
252,BMAL1,ARNTL|ARNTL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5
53,ARR3,ARRX|MYP26|cArr
310,ARRB1,ARB1|ARR1
387,ARRB2,ARB2|ARR2|BARR2
148,ARSA,ASA|MLD
83,ARSB,ASB|G4S|MPS6
119,STS,ARSC|ARSC1|ASC|ES|SSDD|XLI
2,ARSC2,ARSC
17,ARSD,ASD
29,ARSL,ARSE|ASE|CDPX|CDPX1|CDPXR
15,ARSF,ASF
17,ART1,ART2|ARTC1|CD296|RT6
4,ART2P,ART1P|ARTC2AP|RT6
26,ART3,ARTC3
30,ART4,ARTC4|CD297|DO|DO/ART4|DOK1
59,ARVCF,-
2,ARVD3,ARVD2
2,ARVD4,-
118,ASAH1,AC|ACDase|ASAH|PHP|PHP32|SMAPME
130,ASCL1,ASH1|HASH1|MASH1|bHLHa46
46,ASCL2,ASH2|HASH2|MASH2|bHLHa45
1,ASD1,-
76,ASGR1,ASGPR|ASGPR1|CLEC4H1|HL-1
51,ASGR2,ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2
45,ASIP,AGSW|AGTI|AGTIL|ASP|SHEP9
61,ASL,ASAL
36,ASMT,ASMTY|HIOMT|HIOMTY
85,GET3,ARSA-I|ARSA1|ASNA-I|ASNA1|CMD2H|TRC40
154,ASNS,ASNSD|TS11
1,ASNSP2,ASNSL2
54,ASPA,ACY2|ASP
160,ASPH,AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin
168,ASS1,ASS|CTLN1
2,ASS1P2,ASSP2
2,ASS1P4,ASSP4
1,ASS1P5,ASSP5
4,ASS1P6,ASSP6
3,ASS1P8,ASSP8
3,ASS1P9,ASSP9
2,ASS1P10,ASSP10
2,ASS1P14,ASSP14
18,ASTN1,ASTN
290,SERPINC1,AT3|AT3D|ATIII|ATIII-R2|ATIII-T1|ATIII-T2|THPH7
123,ZFHX3,ATBF1|ATBT|ATFB8|C16orf47|SCA4|ZFH-3|ZNF927
2,ATD,ATD1
123,ATF1,EWS-ATF1|FUS/ATF-1|TREB36
311,ATF3,-
363,ATF4,CREB-2|CREB2|TAXREB67|TXREB
3,ATF4P1,ATF4P|TAXREB67P|TXREBP
1,ATHS,ALP
129,ATIC,AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH
1509,ATM,AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1
65,RERE,ARG|ARP|ATN1L|DNB1|NEDBEH
66,ATOH1,ATH1|DFNA89|HATH1|MATH-1|bHLHa14
99,ATOX1,ATX1|HAH1
373,ATP1A1,CMT2DD|HOMGSMR2
