"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P24941","CDK2","CDK2","103","0.982","0.187","5.257","1.46e-7","0.0000295"
"P17612","PKACA","PRKACA","74","-0.956","0.199","-4.811","0.00000150","0.000152"
"P06493","CDK1","CDK1","130","0.724","0.162","4.478","0.00000752","0.000506"
"Q13188","MST2","STK3","3","-3.112","0.708","-4.396","0.0000110","0.000557"
"Q13464","ROCK1","ROCK1","10","-1.485","0.375","-3.963","0.0000740","0.00299"
"P68400","CK2A1","CSNK2A1","73","0.854","0.228","3.747","0.000179","0.00602"
"P19784","CK2A2","CSNK2A2","10","1.242","0.368","3.376","0.000736","0.0212"
"Q16644","MAPKAPK3","MAPKAPK3","2","-1.126","0.353","-3.194","0.00140","0.0325"
"P17252","PKCA","PRKCA","54","-0.73","0.229","-3.184","0.00145","0.0325"
"P00519","Abl","ABL1","3","-2.108","0.677","-3.115","0.00184","0.0372"
"P42684","Arg","ABL2","1","-3.19","1.091","-2.923","0.00346","0.0636"
"P31749","Akt1","AKT1","44","-0.571","0.201","-2.846","0.00443","0.0746"
"Q96J92","WNK4","WNK4","1","-8.849","3.201","-2.765","0.00570","0.0885"
"P49760","CLK2","CLK2","3","-2.377","0.887","-2.681","0.00733","0.0955"
"Q9BYP7","WNK3","WNK3","1","-4.787","1.793","-2.67","0.00759","0.0955"
"Q9H4A3","WNK1","WNK1","1","-4.787","1.793","-2.67","0.00759","0.0955"
"Q9UEW8","STLK3","STK39","1","4.284","1.645","2.604","0.00920","0.0955"
"P31751","Akt2","AKT2","13","-0.873","0.336","-2.596","0.00944","0.0955"
"Q9UBS0","P70S6KB","RPS6KB2","2","-0.951","0.367","-2.592","0.00955","0.0955"
"P08631","Hck","HCK","2","-0.73","0.283","-2.578","0.00993","0.0955"
"Q12866","Mer","MERTK","2","-0.73","0.283","-2.578","0.00993","0.0955"
"Q00526","CDK3","CDK3","2","-0.599","0.235","-2.547","0.0109","0.0955"
"Q96KB5","PBK","PBK","2","-0.599","0.235","-2.547","0.0109","0.0955"
