"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"Q00535","CDK5","CDK5","27","-0.678","0.277","-2.448","0.0144","0.121"
"P53004","BVR","BLVRA","1","-2.764","1.145","-2.415","0.0157","0.127"
"O15530","PDK1","PDPK1","4","-1.218","0.514","-2.369","0.0178","0.134"
"P06241","Fyn","FYN","6","-1.006","0.425","-2.366","0.0180","0.134"
"Q00536","CDK16","CDK16","1","-0.819","0.35","-2.339","0.0193","0.135"
"Q9Y463","DYRK1B","DYRK1B","1","-0.819","0.35","-2.339","0.0193","0.135"
"Q15418","p90RSK","RPS6KA1","17","-0.679","0.293","-2.315","0.0206","0.139"
"P27448","MARK3 iso3","MARK3","3","-1.485","0.65","-2.285","0.0223","0.141"
"P05771","PKCB iso2","PRKCB","4","-1.5","0.658","-2.278","0.0227","0.141"
"Q13976","PKG1 iso2","PRKG1","7","-1.021","0.449","-2.273","0.0231","0.141"
"P07949","Ret","RET","5","-0.869","0.388","-2.241","0.0250","0.149"
"P49840","GSK3A","GSK3A","12","-0.648","0.297","-2.183","0.0290","0.164"
"Q14164","IKKE","IKBKE","2","-1.864","0.856","-2.176","0.0295","0.164"
"Q15208","NDR1","STK38","6","-1.049","0.484","-2.169","0.0301","0.164"
"Q8IW41","MAPKAPK5","MAPKAPK5","4","-1.375","0.641","-2.146","0.0319","0.170"
"Q13153","PAK1","PAK1","13","-0.606","0.286","-2.116","0.0343","0.178"
"O43683","BUB1","BUB1","1","3.395","1.622","2.093","0.0364","0.183"
"P49841","GSK3B","GSK3B","32","-0.475","0.228","-2.085","0.0371","0.183"
"Q5TCY1","TTBK1","TTBK1","2","-0.978","0.474","-2.062","0.0392","0.189"
"Q13555","CAMK2G","CAMK2G","5","-1.27","0.621","-2.045","0.0408","0.192"
"Q92630","DYRK2","DYRK2","10","0.849","0.429","1.978","0.0480","0.220"
"P53350","PLK1","PLK1","22","0.576","0.297","1.936","0.0528","0.233"
"Q16584","MLK3","MAP3K11","1","-2.103","1.087","-1.935","0.0530","0.233"
"P50750","CDK9","CDK9","12","0.637","0.331","1.923","0.0545","0.234"
"Q86Z02","HIPK1","HIPK1","1","-2.113","1.111","-1.902","0.0572","0.239"
"Q99986","VRK1","VRK1","4","-0.723","0.382","-1.895","0.0580","0.239"
"P07948","LYN","LYN","2","-2.164","1.15","-1.881","0.0599","0.242"
"O00141","SGK1","SGK1","14","-0.596","0.319","-1.868","0.0618","0.244"
"Q9UQM7","CAMK2A","CAMK2A","10","-0.821","0.444","-1.849","0.0645","0.244"
"P30530","AXL","AXL","5","-0.636","0.35","-1.815","0.0695","0.244"
"P14618","PKM","PKM","1","-0.436","0.244","-1.789","0.0736","0.244"
"P16591","Fer","FER","1","-0.436","0.244","-1.789","0.0736","0.244"
"P22455","FGFR4","FGFR4","1","-0.436","0.244","-1.789","0.0736","0.244"
"P22607","FGFR3","FGFR3","1","-0.436","0.244","-1.789","0.0736","0.244"
"P23458","JAK1","JAK1","1","-0.436","0.244","-1.789","0.0736","0.244"
"Q15300","Ret iso3","RET","1","-0.436","0.244","-1.789","0.0736","0.244"
"Q9UM73","ALK","ALK","1","-0.436","0.244","-1.789","0.0736","0.244"
"P48730","CK1D","CSNK1D","1","-0.754","0.422","-1.788","0.0738","0.244"
"O00311","CDC7","CDC7","8","0.632","0.356","1.774","0.0760","0.248"
"P51813","Etk","BMX","2","-0.583","0.334","-1.746","0.0808","0.258"
"Q9NYV4","CDK12","CDK12","6","0.773","0.444","1.74","0.0818","0.258"
"P35269","GTF2F1","GTF2F1","1","1.703","0.987","1.725","0.0845","0.263"
"P08581","Met","MET","3","-0.551","0.325","-1.697","0.0898","0.271"
"P09769","FGR","FGR","3","-0.551","0.325","-1.697","0.0898","0.271"
"P42345","mTOR","MTOR","18","-0.495","0.303","-1.634","0.102","0.304"
"O15264","P38D","MAPK13","6","0.487","0.31","1.568","0.117","0.342"
"P41279","Cot","MAP3K8","5","-0.578","0.371","-1.558","0.119","0.344"
"P36507","MEK2","MAP2K2","3","-0.483","0.317","-1.525","0.127","0.358"
"Q16512","PKN1","PKN1","5","-0.668","0.438","-1.524","0.128","0.358"
"Q8TD08","ERK7","MAPK15","3","-0.845","0.567","-1.492","0.136","0.375"
"P78368","CK1G2","CSNK1G2","1","1.24","0.846","1.465","0.143","0.380"
"Q9HCP0","CK1G1","CSNK1G1","1","1.24","0.846","1.465","0.143","0.380"
"Q9Y6M4","CK1G3","CSNK1G3","1","1.24","0.846","1.465","0.143","0.380"
"P12931","Src","SRC","21","-0.401","0.285","-1.409","0.159","0.417"
"Q9H2G2","SLK","SLK","1","-1.736","1.25","-1.389","0.165","0.422"
"Q02750","MEK1","MAP2K1","4","-0.359","0.259","-1.385","0.166","0.422"
"Q02156","PKCE","PRKCE","7","-0.501","0.363","-1.382","0.167","0.422"
"O15111","IKKA","CHUK","4","1.139","0.837","1.362","0.173","0.432"
"O14965","AurA","AURKA","7","-0.762","0.563","-1.354","0.176","0.433"
"Q13627","DYRK1A","DYRK1A","4","0.986","0.734","1.343","0.179","0.436"
"P50613","CDK7","CDK7","15","0.295","0.223","1.325","0.185","0.445"
"Q05397","FAK","PTK2","2","-0.525","0.403","-1.305","0.192","0.456"
"Q9Y3S1","WNK2","WNK2","2","-1.804","1.391","-1.297","0.195","0.457"
"Q9BZL6","PRKD2","PRKD2","4","-0.563","0.441","-1.277","0.202","0.468"
"P78527","DNAPK","PRKDC","12","0.377","0.3","1.256","0.209","0.471"
"P53779","JNK3","MAPK10","3","-0.457","0.364","-1.256","0.209","0.471"
"Q13535","ATR","ATR","11","0.501","0.4","1.254","0.210","0.471"
"P67870","CK2B","CSNK2B","4","0.853","0.711","1.201","0.230","0.506"
"P04049","RAF1","RAF1","2","-0.611","0.512","-1.193","0.233","0.506"
"P06213","INSR","INSR","2","-0.903","0.758","-1.192","0.233","0.506"
"Q96GX5","MASTL","MASTL","1","-1.963","1.656","-1.186","0.236","0.506"
"P33981","TTK","TTK","2","1.169","0.994","1.176","0.240","0.506"
"Q14012","CAMK1A","CAMK1","3","-0.498","0.426","-1.171","0.241","0.506"
"Q9P0L2","MARK1","MARK1","5","-0.864","0.743","-1.163","0.245","0.506"
"P51812","RSK2","RPS6KA3","14","-0.374","0.322","-1.161","0.246","0.506"
"P23443","p70S6K","RPS6KB1","7","-0.394","0.357","-1.104","0.270","0.550"
"O94806","PRKD3","PRKD3","1","-0.758","0.703","-1.079","0.281","0.567"
"P07947","Yes","YES1","2","-0.635","0.602","-1.056","0.291","0.568"
"Q15746","smMLCK","MYLK","4","-0.331","0.314","-1.054","0.292","0.568"
"Q9HBH9","Mnk2","MKNK2","1","-1.687","1.609","-1.048","0.294","0.568"
"Q9Y478","AMPKB1","PRKAB1","2","-0.531","0.507","-1.048","0.295","0.568"
"P48729","CK1A","CSNK1A1","7","0.629","0.601","1.047","0.295","0.568"
"O75582","MSK1","RPS6KA5","6","-0.283","0.278","-1.02","0.308","0.586"
"Q96BR1","SGK3","SGK3","2","-0.604","0.598","-1.01","0.312","0.586"
"P53355","DAPK1","DAPK1","6","-0.375","0.373","-1.006","0.314","0.586"
"Q13554","CAMK2B","CAMK2B","3","-0.521","0.522","-0.998","0.318","0.586"
"O94921","CDK14","CDK14","5","0.523","0.525","0.997","0.319","0.586"
"Q13557","CAMK2D","CAMK2D","1","-0.837","0.851","-0.984","0.325","0.592"
"P54646","AMPKA2","PRKAA2","8","-0.37","0.387","-0.958","0.338","0.610"
"P27361","ERK1","MAPK3","91","0.137","0.149","0.923","0.356","0.633"
"Q13131","AMPKA1","PRKAA1","26","-0.265","0.291","-0.91","0.363","0.633"
"P45984","JNK2 iso2","MAPK9","15","-0.199","0.219","-0.907","0.364","0.633"
"Q9UGJ0","AMPKG2","PRKAG2","1","-0.745","0.824","-0.904","0.366","0.633"
"Q9H2X6","HIPK2","HIPK2","7","0.358","0.398","0.901","0.368","0.633"
"O60674","JAK2","JAK2","4","-0.248","0.28","-0.885","0.376","0.633"
"P09619","PDGFRB","PDGFRB","1","-0.37","0.421","-0.879","0.379","0.633"
"P16234","PDGFRA","PDGFRA","1","-0.37","0.421","-0.879","0.379","0.633"
"P41240","CSK","CSK","1","-0.37","0.421","-0.879","0.379","0.633"
"P00533","EGFR","EGFR","7","-0.332","0.381","-0.871","0.384","0.635"
"Q05655","PKCD","PRKCD","16","0.248","0.287","0.863","0.388","0.635"
"Q9HC98","NEK6","NEK6","6","0.437","0.508","0.86","0.390","0.635"
"O96017","Chk2","CHEK2","5","0.392","0.464","0.845","0.398","0.643"
"O00418","EEF2K","EEF2K","7","0.521","0.624","0.835","0.403","0.645"
"Q9NRM7","LATS2","LATS2","3","-0.357","0.431","-0.827","0.408","0.645"
"P21675","TAF1","TAF1","1","-1.208","1.463","-0.826","0.409","0.645"
"Q00534","CDK6","CDK6","8","-0.25","0.306","-0.818","0.414","0.648"
"O75676","MSK2","RPS6KA4","2","-0.463","0.57","-0.812","0.417","0.648"
"O75116","ROCK2","ROCK2","4","-0.295","0.379","-0.777","0.437","0.672"
"O14578","CRIK","CIT","2","-0.236","0.307","-0.768","0.442","0.672"
"Q5VT25","MRCKA","CDC42BPA","2","-0.236","0.307","-0.768","0.442","0.672"
"O95835","LATS1","LATS1","4","-0.3","0.396","-0.757","0.449","0.676"
"Q9BWU1","CDK19","CDK19","1","1.244","1.655","0.752","0.452","0.676"
"P06239","Lck","LCK","1","-0.313","0.419","-0.746","0.455","0.676"
"P45983","JNK1 iso2","MAPK8","18","-0.167","0.228","-0.732","0.464","0.685"
"O95747","OSR1","OXSR1","1","-1.187","1.643","-0.722","0.470","0.688"
"Q13882","Brk","PTK6","2","-0.335","0.485","-0.69","0.490","0.696"
"P51617","IRAK1","IRAK1","1","-0.152","0.22","-0.69","0.490","0.696"
"Q13233","MEKK1","MAP3K1","1","-0.152","0.22","-0.69","0.490","0.696"
"Q9UBE8","NLK","NLK","1","-0.152","0.22","-0.69","0.490","0.696"
"Q13164","ERK5","MAPK7","5","0.359","0.524","0.686","0.493","0.696"
"P21127","CDK11B","CDK11B","1","-0.557","0.823","-0.677","0.499","0.699"
"P43250","GRK6","GRK6","1","-1.092","1.671","-0.653","0.513","0.715"
"P24723","PKCH","PRKCH","4","0.374","0.596","0.628","0.530","0.733"
"O96013","PAK4","PAK4","1","-0.978","1.617","-0.605","0.545","0.749"
"P41743","PKCI","PRKCI","6","0.391","0.657","0.595","0.552","0.750"
"O75385","ULK1","ULK1","1","-0.971","1.639","-0.593","0.553","0.750"
"O00444","PLK4","PLK4","1","0.553","0.944","0.586","0.558","0.751"
"Q13315","ATM","ATM","16","0.185","0.328","0.565","0.572","0.764"
"O43318","TAK1","MAP3K7","6","0.312","0.557","0.56","0.576","0.764"
"P43403","ZAP70","ZAP70","1","-0.9","1.622","-0.555","0.579","0.764"
"Q9NWZ3","IRAK4","IRAK4","3","0.202","0.376","0.536","0.592","0.772"
"Q9UHD2","TBK1","TBK1","4","-0.343","0.641","-0.535","0.592","0.772"
"Q96SB4","SRPK1","SRPK1","2","0.513","1.028","0.499","0.618","0.794"
"P43405","Syk","SYK","1","-0.324","0.657","-0.494","0.622","0.794"
"Q14289","Pyk2","PTK2B","1","-0.324","0.657","-0.494","0.622","0.794"
"O14920","IKKB","IKBKB","7","0.276","0.565","0.488","0.625","0.794"
"Q05513","PKCZ","PRKCZ","3","0.196","0.406","0.482","0.630","0.795"
"Q16539","P38A","MAPK14","31","-0.101","0.213","-0.474","0.635","0.796"
"P28482","ERK2","MAPK1","112","0.07","0.15","0.47","0.638","0.796"
"P15056","BRAF","BRAF","3","0.269","0.603","0.445","0.656","0.813"
"Q02779","MLK2","MAP3K10","1","-0.483","1.167","-0.414","0.679","0.829"
"P49137","MAPKAPK2","MAPKAPK2","19","-0.128","0.309","-0.413","0.680","0.829"
"O76039","CDKL5","CDKL5","1","-0.753","1.833","-0.411","0.681","0.829"
"Q15759","P38B","MAPK11","9","0.096","0.247","0.39","0.697","0.839"
"P11362","FGFR1","FGFR1","1","-0.317","0.817","-0.388","0.698","0.839"
"Q7KZI7","MARK2","MARK2","7","-0.197","0.521","-0.379","0.705","0.842"
"Q8TDC3","BRSK1","BRSK1","1","0.128","0.344","0.373","0.709","0.842"
"Q9P289","MST4","STK26","1","-0.387","1.088","-0.356","0.722","0.851"
"O14757","Chk1","CHEK1","30","0.099","0.282","0.353","0.724","0.851"
"Q13177","PAK2","PAK2","4","-0.139","0.447","-0.311","0.756","0.882"
"Q5S007","LRRK2","LRRK2","1","-0.485","1.614","-0.301","0.764","0.887"
"P46020","PHKA1","PHKA1","1","0.501","1.701","0.295","0.768","0.887"
"Q9NYY3","PLK2","PLK2","1","-0.265","1.046","-0.254","0.800","0.918"
"P10398","ARAF","ARAF","1","0.759","3.201","0.237","0.812","0.927"
"Q96GD4","AurB","AURKB","28","0.073","0.326","0.224","0.822","0.931"
"Q9H4B4","PLK3","PLK3","7","-0.051","0.246","-0.207","0.836","0.931"
"Q04759","PKCT","PRKCQ","1","0.22","1.085","0.203","0.839","0.931"
"Q13237","PKG2","PRKG2","4","-0.074","0.372","-0.199","0.842","0.931"
"Q8TAS1","KIS","UHMK1","3","-0.239","1.199","-0.199","0.842","0.931"
"P35968","VEGFR2","KDR","1","0.204","1.034","0.198","0.843","0.931"
"P53778","P38G","MAPK12","8","-0.044","0.284","-0.157","0.875","0.941"
"P11802","CDK4","CDK4","9","0.065","0.418","0.155","0.877","0.941"
"P49674","CK1E","CSNK1E","3","0.118","0.8","0.148","0.882","0.941"
"P51955","NEK2","NEK2","1","-0.238","1.62","-0.147","0.883","0.941"
"Q12851","GCK","MAP4K2","1","-0.073","0.553","-0.132","0.895","0.941"
"Q86V86","Pim3","PIM3","1","-0.073","0.553","-0.132","0.895","0.941"
"Q92918","HPK1","MAP4K1","1","-0.073","0.553","-0.132","0.895","0.941"
"Q9P1W9","Pim2","PIM2","1","-0.073","0.553","-0.132","0.895","0.941"
"O43293","DAPK3","DAPK3","3","-0.075","0.59","-0.128","0.898","0.941"
"Q15139","PRKD1","PRKD1","9","-0.046","0.362","-0.127","0.899","0.941"
"Q9Y243","Akt3","AKT3","5","0.036","0.321","0.111","0.911","0.948"
"Q6P5Z2","PKN3","PKN3","1","-0.071","0.662","-0.107","0.915","0.948"
"O00443","PIK3C2A","PIK3C2A","1","0.14","1.622","0.087","0.931","0.959"
"Q13043","MST1","STK4","2","-0.066","0.928","-0.071","0.944","0.968"
"P00540","MOS","MOS","2","-0.038","0.715","-0.053","0.958","0.976"
"P48736","PIK3CG","PIK3CG","1","-0.079","1.614","-0.049","0.961","0.976"
"O60285","NuaK1","NUAK1","1","0.014","0.928","0.015","0.988","0.990"
"Q9H093","NuaK2","NUAK2","1","0.014","0.928","0.015","0.988","0.990"
"P11309","Pim1","PIM1","4","0.004","0.318","0.012","0.990","0.990"
