"KinaseID","Name","Gene","NumSubs","Activity","StdErr","ZScore","PValue","FDR"
"P27361","ERK1","MAPK3","60","0.759","0.177","4.298","0.0000172","0.00338"
"P06493","CDK1","CDK1","94","0.709","0.185","3.825","0.000131","0.0101"
"Q13164","ERK5","MAPK7","4","2.83","0.759","3.731","0.000191","0.0101"
"Q86Z02","HIPK1","HIPK1","1","-4.197","1.131","-3.711","0.000207","0.0101"
"P23443","p70S6K","RPS6KB1","7","1.055","0.298","3.535","0.000408","0.0160"
"Q13177","PAK2","PAK2","5","1.464","0.432","3.392","0.000694","0.0227"
"P49760","CLK2","CLK2","2","-3.397","1.024","-3.317","0.000908","0.0233"
"P24941","CDK2","CDK2","71","0.727","0.22","3.305","0.000951","0.0233"
"Q5TCY1","TTBK1","TTBK1","3","-1.589","0.507","-3.134","0.00172","0.0375"
"P28482","ERK2","MAPK1","90","0.531","0.172","3.086","0.00203","0.0398"
"O15264","P38D","MAPK13","4","1.182","0.398","2.969","0.00299","0.0533"
"P31749","Akt1","AKT1","45","0.58","0.206","2.818","0.00484","0.0789"
"Q05513","PKCZ","PRKCZ","5","-1.422","0.509","-2.792","0.00523","0.0789"
"Q96GD4","AurB","AURKB","19","1.045","0.381","2.742","0.00611","0.0830"
"Q16644","MAPKAPK3","MAPKAPK3","4","0.973","0.36","2.702","0.00690","0.0830"
"P78527","DNAPK","PRKDC","6","1.237","0.464","2.667","0.00766","0.0830"
"Q9NWZ3","IRAK4","IRAK4","3","1.015","0.381","2.664","0.00773","0.0830"
"O95747","OSR1","OXSR1","2","-3.218","1.211","-2.657","0.00790","0.0830"
"Q13188","MST2","STK3","2","-2.505","0.945","-2.65","0.00804","0.0830"
"P17612","PKACA","PRKACA","81","0.489","0.19","2.578","0.00994","0.0974"
"P41743","PKCI","PRKCI","6","1.528","0.601","2.542","0.0110","0.100"
"Q9UBS0","P70S6KB","RPS6KB2","2","0.691","0.274","2.519","0.0118","0.100"
"O14757","Chk1","CHEK1","33","0.71","0.282","2.519","0.0118","0.100"
