Rank	Protein	Mean rank	Overlapping Proteins
1	CSNK2A1*	8.364	USP6NL,RB1,MDC1,RPL30,GPATCH4,SPINT2,F11R,DCAF5,FNBP1L,SMC3,BACH1,MYLK,TFG,STMN1,PWWP2A,CHGB,DDX17,MED1,SAP30BP,PRKCB,DDX11,WDR75,PRKCA,PHKA1,SCRIB,DICER1,GAPVD1,CD2AP,EML4,BCR,RUFY1,DYNC1LI2,FDX1,PRKCQ,NUP98,HPRT1,MYL9,SKAP1,ASF1B,SF1,EXD2,SEH1L,PRKDC,ENDOD1,AGAP1,NCAPG,NOLC1,BAZ2A,AGAP3,IQGAP1,WDR62,IQGAP2,HIF1A,PRKCZ,SAMSN1,NCAPH,FAM171A1,LDHA,HSPH1,LARP1,EPB41L1,RREB1,CEP78,ABCA1,HEXIM1,BARD1,ZNF264,CDK18,ZNF142,PRPF38B,PRPF38A,ST13,EIF2AK1,EIF2AK3,LARP7,PRRC2C,PBX2,NFATC2,RMDN3,BRAF,LARP4,WDR55,EIF5,FAM135A,PPFIBP2,HNRNPK,AGO2,STRN,CDK12,HNRNPC,AVL9,CDK13,EZH2,CPEB4,DENND1B,CDKN1A,SETD2,TGFB1I1,TCF20,EFCAB7,TRIOBP,GLI3,WDR43,ARHGAP4,LRRC1,SMPD3,CHAF1B,TUBA1B,NIPBL,MECOM,TRIM2,PBK,RPLP2,RIOK2,JARID2,APPL2,RRP15,UPF2,RIPK2,IFNGR1,PAWR,EPS15L1,BAZ1B,CIT,APBB1IP,NCOR2,VAMP8,ZEB1,CDC42EP4,HCLS1,CRYAB,KANK2,TMF1,AHNAK,STAU2,RPL12,SRRT,RECQL4,FGD4,PPP1R2,WRN,BCLAF1,SRP72,TCOF1,PRR14L,UBN2,NSD2,LEO1,SPP1,MICALL2,FLNA,RPL13,RRP36,STX4,FLNB,ZNF106,FLNC,SRSF10,SF3B1,NKTR,CASP8AP2,SLC16A1,ATAD5,KIDINS220,ATAD2,CARD9,YLPM1,RRP1B,ARCN1,GATAD2A,CENPE,PSMC5,RYBP,MYBBP1A,TAOK1,SERBP1,ABI1,LPCAT2,CCDC6,ZNF217,ANKS4B,GOPC,CIAPIN1,NCAPD3,NCF1,ANKRD35,RIF1,CTNND1,FBXO28,BZW2,EDC3,RIMS1,SALL1,GRB14,CFL2,OSBP,PAPOLA,SMARCAD1,SLC39A7,KPNA2,ZNF687,HMGN1,NOMO2,TLE3,MAP2K1,RPS9,SUPT16H,TLE1,UBE2E3,TRAFD1,FRMD4A,FRMD4B,LARP4B,THOC2,GTF2F1,VRK3,CDC25C,DGKZ,RNF40,ARMCX3,CLIP1,ILF3,NCL,ZNF318,SRSF2,PKP2,PKP4,SRSF4,PHIP,ROR2,SRSF5,SREK1,PKP3,SRSF6,UTRN,SRSF7,FKBP3,KANK4,SRSF8,S100A8,SRSF9,KMT2E,ANKRD17,CUL9,KHDRBS1,KMT2D,DNMT1,BLM,KMT2A,KMT2C,ISG20L2,ITPR3,HSP90B1,SLC9A3R2,BCL2L13,SLC9A3R1,KLC4,KLC3,KLC2,ORC1,ATXN7,UBR5,TPR,SAFB2,ZKSCAN2,ABL2,MAP3K21,SRGAP3,ZNF423,MDN1,MAP2K6,OSBPL8,CHTOP,FANCM,API5,ZBTB16,CORO2A,EEF2,MCC,NDC80,IBTK,GON4L,SCCPDH,CPD,BCL3,PDCL,NF1,EIF4G2,EIF4G1,CRYBG1,SH2D4A,NUMA1,CALCOCO2,RNF14,FHL1,SNAP23,MCM10,CDC73,SYNE2,PTBP1,FSD1L,PPP1R13L,SNRNP70,EXO1,UBTF,DNMT3B,CEP170,SPDL1,BCAS3,EIF5B,PPP1R12A,PDCD6IP,DST,SH2D3A,SECISBP2L,ATRX,COBL,RANGAP1,SMC1A,ARFGAP1,ARFGAP2,ASPM,DNAJC1,TRAF4,ZNF638,MCM3,LCOR,MCM4,DSG2,LCP2,MCM6,PPP1R12B,DTL,MET,MCM2,RAB1A,UHRF1,HDAC1,U2AF1,HDAC7,ABLIM1,HECTD1,HIRIP3,POLR2A,U2AF2,HECTD4,KATNA1,EIF4H,SH3BP4,RBBP6,ZNF622,HNRNPA1,EIF4B,HNRNPA0,UBQLN2,MLXIP,PTPN1,NOP58,MGA,CDC42BPG,PTPN11,PTPN12,BICC1,TBX2,APC,SH3D21,PRC1,SPAG1,ESF1,PTPN6,CEBPZ,P4HB,ATXN10,PTPN3,ZMYND8,ULK4,IFIT5,CALML3,CBLB,IKZF2,MKI67,CDC20,TRIM28,RPL18A,SNRPD2,TRIM29,RASSF6,SAP130,TRIM25,FBXO6,TNS3,TBC1D22B,SOX4,EPHB3,SEC63,TMPO,AGFG1,TNS1,SRRM2,SMARCC1,ANK2,ANK3,RUNX3,SRRM1,ULK1,VDAC1,SIK2,KIF20A,TRIM16,TLN1,ZFPM2,RIN2,LLGL2,GRB7,SPTBN4,TBC1D9B,DHX8,EPB41,SP140,CTR9,RTF1,HTATSF1,MYL12A,FXR1,BRIP1,SCFD1,NUAK2,PDCD11,RACGAP1,TP53BP2,DHX38,SYMPK,TNRC18,TP53BP1,SPTBN1,RAB11FIP5,CARMIL1,SETDB1,XRCC5,BCL11A,SYNRG,RASSF8,XRCC1,NBEAL2,PUM1,PAICS,DCLK1,PTK2,PARP12,WAPL,SMARCA4,ANLN,SMTN,SNW1,ZZZ3,TH,WNK1,PTK7,PPP1R1B,CALU,PAF1,CORO7,RCOR3,DCP1A,RCOR2,BAP1,SUGP1,CLIC6,TOP2A,CLIC5,HBS1L,TOP2B,SYNM,ECM2,FKBP15,MIA2,MIA3,RSF1,BRCA1,LIMD1,SH3RF1,COIL,AKAP13,PPP3CA,EPB41L4A,MIS18BP1,PCF11,SH3PXD2B,UIMC1,CNTRL,XPO5,CHAMP1,KIF1A,GIT1,DBNL,SYK,KIF24,PRPF40A,TOPORS,GAK,SLTM,KIF2A,NFX1,KIF2C,MAPT,ARHGEF2,ARHGEF7,ARHGEF5,DCP2,DYNC1I2,SP100,TNXB,NOL8,AKAP1,HIRA,PAK1,PGRMC2,CUX1,LMNA,CTNNA1,CTNNA2,MSX1,EPS15,MPZL1,PAK4,MAP4K4,RTRAF,MAP3K2,RANBP2,GIT2,NPM1,MAP3K1,RANBP3,PLEKHA1,PLEKHA2,PLEKHA5,ERBIN,HUWE1,AP3D1,PLEKHA6,SORBS1,MLH1,SORBS3,PLEKHA7,PPP1CA,TJP1,RSL1D1,HNRNPA2B1,RAB3GAP2,HDGF,TRIP12,PNPLA6,MPHOSPH8,APBA2,TJP2,OTUD4,FOXA1,HDLBP,CELSR1,ESPN,ARHGAP35,EEF1B2,TEPSIN,GRIP1,CCND3,RGS3,CWC22,EP300,CAPN1,CMTR1,NOM1,LIG1,KAZN,LIG3,LMO7,CDYL,TMEM131,TANC1,ADAM17,TMX2,CCNE1,SPECC1L,TIMELESS,MATR3,RAF1,HDGFL2,RAI14,COPA,YTHDC2,NOP2,PSEN1,PDS5B,ACACA,ARHGAP12,CCNB2,ARHGAP21,RAI1,COP1,PDZD2,CALD1,CASKIN1,NLRP2,MYH14,ZC3H18,RHPN2,ECT2,ZC3H13,PDZD8,MYH10,ANKZF1,FAM83B,GCN1,IVNS1ABP,SPECC1,SMAD1,KLHDC4,SMAD4,CPSF6,CBX4,ARHGEF38,HMGA1,DNAJC11,SUPT5H,SSH1,ARHGAP23,AFDN,ARHGAP32,DLG1,MAVS,LIN28B,DNMBP,KIF18B,DIAPH3,NASP,DLG5,CHMP2B,ACBD3,USP36,KDM5C,MAST4,SOWAHB,CHD8,MAST2,CHD7,PSIP1,ARHGEF10L,CHD4,YBX1,CHD2,CHTF18,ELAVL1,TTC28,MFSD6,CASP8,ZC3H7B,SPEG,LRRFIP2,MYBL2,POLH,ARHGEF11,KDM6B,RBM17,ABCC4,RBM14,NUP133,USP42,PDE4D,CAD,ARHGEF16,DDX54,SHROOM1,NAV2,SAFB,UTP18,ETV6,RCN1,LATS2,RBL1,ALS2,TBC1D4,THRAP3,RBMS1,DOCK2,SHANK2,DDX27,RGS14,DDX20,DDX21,ADD3,FAM169A,SAMHD1,IWS1,ATAD2B,PDLIM1,PDLIM3,RPS6KC1,TRA2B,TRA2A,EPS8L1,EPS8L2,BUB1,PDLIM7,CLASP2,USP24,ARFGEF1,ATF7IP,SPEN,KDM4A,RRM2,TAF15,NIFK,LUM,LRWD1,DEK,U2SURP,EEPD1,WEE1,ACIN1,NUP35,RBMX,SNTB1
2	AURKB*	9.091	RB1,MDC1,SMC3,MYLK,TFG,STMN1,GTSE1,NUP214,PRKCB,MAP1S,DDX11,PRKCA,SCRIB,DICER1,GAPVD1,PHKA2,CD2AP,CLDN6,EML4,NUP93,BCR,RUFY1,DYNC1LI2,CLDN3,ZFYVE19,PRKCQ,NUP98,MYL9,HOXB6,ASF1B,CDCA2,SEH1L,PRKDC,CDCA8,NCAPG,ZC3HAV1,WDR62,IQGAP1,PRKCZ,HIF1A,NCAPH,LDHA,LARP1,BARD1,ABCA1,CDK18,THAP12,PRRC2C,RMDN3,PBX2,NFATC2,BRAF,EHD2,GJB1,HNRNPK,MEX3A,AGO2,HNRNPC,CDK13,EZH2,LIN54,CDKN1A,SETD2,TGFB1I1,FMN1,TCF20,CLINT1,GLI3,TUBA1C,CHAF1B,NIPBL,TUBA1B,CHAF1A,MECOM,NUF2,PBK,RPLP2,DLGAP5,NDC1,UPF2,RIPK2,BAZ1B,CIT,VAMP8,NCOR2,INCENP,HCLS1,AHNAK,RECQL4,PPP1R2,WRN,NSD2,LEO1,USP1,FLNA,STX4,MISP,SF3B1,ATAD5,NDE1,ATAD2,GATAD2A,CENPE,CENPF,PSMC5,RYBP,MYBBP1A,TAOK1,ABI1,CENPL,GOPC,NCAPD3,RIF1,CTNND1,HJURP,CFL2,SMARCAD1,KPNA2,MAP2K1,SUPT16H,CEP131,TPM1,CDC25C,RNF40,ILF3,CLIP1,RBMXL1,NCL,SRSF2,PKP2,SRSF4,SRSF5,PKP3,SRSF6,SRSF8,S100A8,ANKRD17,KMT2E,CUL9,KMT2D,BLM,DNMT1,KMT2A,KMT2C,BCL2L12,RAD51AP1,SLC9A3R2,ATXN2,ORC1,ATXN7,UBR5,TPR,MAP3K21,ABL2,MAP2K6,FANCI,FANCM,SEC16A,ZBTB16,NDC80,REEP4,BCL3,NF1,CRYBG1,NUMA1,SH2D4A,MCM10,CDC73,PTBP1,EXO1,PPP1R13L,DNMT3B,UBTF,CEP170,SPDL1,PPP1R12A,ATRX,SMC1A,RANGAP1,ASPM,TRAF4,ZNF638,MCM3,MCM4,LCP2,MCM6,DTL,MET,MCM2,HDAC1,UHRF1,HDAC7,ABLIM1,HIRIP3,HECTD1,POLR2A,KATNA1,HNRNPA1,E2F8,CDC42BPG,PTPN11,MYO19,APC,PRC1,CROCC,PTPN6,CEBPZ,ATXN10,P4HB,PTPN3,CBLB,MKI67,IKZF2,CDC20,GOLGA2,TRIM28,SNRPD2,TRIM25,FBXO6,TNS3,TNS2,SOX4,TMPO,TNS1,SMARCC1,KRT8,MTUS1,ANK2,KNL1,ANK3,ESCO2,RUNX3,SRRM1,CCDC86,KIF20A,SIK2,ZFPM2,LLGL2,CTR9,RTF1,MYL12A,BRIP1,DSN1,RACGAP1,TP53BP2,SYMPK,TP53BP1,MAP4,SPTBN1,SETDB1,XRCC5,BCL11A,RASSF8,XRCC1,PUM1,PAICS,DCLK1,WAPL,PTK2,PARP12,SMARCA4,ANLN,POLA1,TPX2,SNW1,WNK1,PAF1,RCOR3,TOP2A,TOP2B,AHCTF1,FKBP15,PPP1R10,KIF14,OTUD7B,MIA3,RSF1,BRCA1,BRCA2,LIMD1,SH3RF1,PPP3CA,AKAP13,MIS18BP1,CNTRL,CHMP1A,UFD1,KIF1A,GIT1,DBNL,SYK,PARP2,KIF24,KIF23,PRPF40A,TOPORS,GAK,UGDH,CNKSR1,KIF9,KIF2A,KIF2C,ARHGEF2,ARHGEF7,DYNC1I2,DOT1L,PAK1,LMNA,MSX1,PAK4,MAP4K4,MAP3K2,RANBP2,SVIL,GIT2,NPM1,MAP3K1,CAVIN1,PLEKHA5,HUWE1,SORBS1,MLH1,SORBS3,PPP1CA,TJP1,RSL1D1,MIS18A,TACC3,TRIP12,TACC2,MPHOSPH8,FOXA1,WWC1,GRIP1,CCND3,NUSAP1,EP300,CAPN1,BORA,LIG1,LMO7,LIG3,CDYL,ADAM17,CCNE1,FANCD2,TIMELESS,MATR3,RAF1,VCL,RAI14,NOP2,PDS5B,SLC1A5,ARHGAP12,CCNB2,ARHGAP21,RAI1,COP1,NLRP2,MYH14,MYH11,CLSPN,ECT2,FAM83D,MYH10,ANKZF1,GCN1,SMAD1,SMAD4,HMGA1,DNAJC11,ARHGAP23,SSH1,ARHGAP32,LIN28B,DIAPH3,KIF18B,NASP,KIF4A,MAST2,CHD7,CHD4,YBX1,CHTF18,ELAVL1,TTC28,CASP8,BLNK,MYBL2,POLE,ARHGEF11,RBM14,NUP133,PDE4D,CAD,CKAP2,DDX54,LATS2,RBL1,TBC1D4,SHANK2,DDX27,TAF9,DDX20,DDX21,LIN9,PSMB10,PDLIM1,BUB1,PDLIM7,CLASP2,KDM4A,RRM2,TAF15,PDE4DIP,DEK,LRWD1,TICRR,WEE1,DES,SCD,LNX1,NUP35,RBMX
3	CDK2*	9.636	RB1,MDC1,RPL30,SMC3,BACH1,MYLK,RABGEF1,TFG,STMN1,GTSE1,CHGB,DDX17,NUP214,MED1,PRKCB,DDX11,PRKCA,SCRIB,DICER1,GAPVD1,PHKA2,CD2AP,EML4,BCR,BIN2,PRKCQ,HPRT1,NUP98,SKAP1,HOXB6,ASF1B,EXD2,CDCA2,SEH1L,PRKDC,AGAP1,CDCA8,NCAPG,NOLC1,BAZ2A,SLAIN2,AGAP3,IQGAP1,SLAIN1,WDR62,IQGAP2,PRKCZ,HIF1A,NCAPH,LDHA,HSPH1,LARP1,RREB1,CEP78,ABCA1,BARD1,HEXIM1,CDK18,ST13,EIF2AK1,EIF2AK3,LARP7,NFATC2,BRAF,LARP4,WDR55,PRRC2A,EIF5,FAM135A,PPFIBP2,HNRNPK,AGO2,STRN,CDK12,HNRNPC,CDK13,EZH2,LIN54,CDKN1A,SETD2,TGFB1I1,FMN1,TCF20,GLI3,WDR43,ARHGAP4,SMPD3,TUBA1C,CHAF1B,TUBA1B,CHAF1A,MECOM,AIFM1,NUF2,PBK,RPLP2,RIOK2,JARID2,CIC,NEFH,DLGAP5,NDC1,UPF2,RIPK2,SLC2A10,EPS15L1,BAZ1B,CIT,NCOR2,ZEB1,PAX8,INCENP,HCLS1,KANK2,AHNAK,RPL12,SYNPO2,PRUNE2,SRRT,RECQL4,FGD4,PPP1R2,WRN,BCLAF1,TCOF1,NSD2,LEO1,USP1,SPP1,FLNA,RPL13,FLNB,STX4,FLNC,CKB,SRSF10,SF3B1,CASP8AP2,FARP1,ATAD5,KIDINS220,NDE1,ATAD2,GATAD2A,CENPE,CENPF,PSMC5,MYBBP1A,ABI1,LPCAT2,CCDC6,ZNF217,ANKS4B,CIAPIN1,NCAPD3,PHLDB1,NCF1,ANKRD35,RIF1,FBXO28,CTNND1,HJURP,EDC3,RAB44,RIMS1,DACH1,PAPOLA,SMARCAD1,SLC39A7,KPNA2,MAP2K1,RPS9,SUPT16H,TLE1,TPM3,RALGAPA2,UBE2E3,TPM1,FBXW9,SPICE1,FRMD4A,LARP4B,CDC25C,GTF2F1,VRK3,DGKZ,RNF40,TOM1L1,CLIP1,ILF3,NCL,FSCN1,SRSF2,SRSF4,PHIP,ROR2,SRSF5,PKP3,SRSF6,SRSF7,S100A8,SRSF8,KANK4,SRSF9,KMT2E,ANKRD17,CUL9,KHDRBS1,KMT2D,BLM,DNMT1,KMT2A,KMT2C,ISG20L2,ITPR3,RAP1GAP,HSP90B1,BCL2L12,RAD51AP1,SLC9A3R2,KLC4,SLC9A3R1,KLC3,KLC2,ORC1,ORC2,TPR,ZKSCAN2,ABL2,MAP3K21,SMN1,SRGAP3,MAP2K6,FANCI,FANCM,API5,SEC16A,ZBTB16,GFPT1,EEF2,NDC80,ZC3HC1,IBTK,BCL3,NF1,PDCL,TPP2,EIF4G2,EIF4G1,NUMA1,BNC2,ITGB4,RNF14,CEP164,MCM10,PTBP1,EXO1,SNRNP70,PPP1R13L,PSD4,DNMT3B,UBTF,CEP170,SPDL1,ERC1,ATP7A,DSP,EIF5B,PLEKHG1,PPP1R12A,PDCD6IP,PLEKHG2,DST,SH2D3A,ATRX,COBL,RANGAP1,SMC1A,ARFGAP1,ASPM,TRAF4,ZNF638,MCM3,LCOR,MCM4,DSG2,MCM6,PPP1R12B,DTL,MET,MCM2,RAB1A,NUFIP2,UHRF1,HDAC1,MLLT3,HDAC7,ABLIM1,POLR2A,U2AF2,KATNA1,HECTD4,VPS53,EIF4H,VPS54,RBBP6,ZNF622,HNRNPA1,EIF4B,E2F8,HNRNPA0,SLC12A2,PTPN1,CIZ1,MARCKSL1,IRX5,CDC42BPG,PTPN11,PTPN12,TPD52L1,TBX2,APC,PRC1,CROCC,SPAG1,PTPN6,CEBPZ,P4HB,PTPN3,ULK4,IFIT5,IKZF2,MKI67,CDC20,GOLGA2,SNRPD2,TRIM28,RASSF6,TRIM25,FBXO6,SOX9,SYNPO,TNS3,SCAPER,SLC12A8,TBC1D22B,TNS2,SOX4,EPHB3,TMPO,TNS1,SRRM2,SMARCC1,KRT8,ANK2,ESCO2,KNL1,ANK3,KRT5,RUNX3,SRRM1,XRN1,ULK1,VDAC1,SIK2,KIF20A,TLN1,ZFPM2,RIN2,LLGL2,SLC45A4,DHX8,EPB41,SP140,CTR9,RTF1,HTATSF1,EVPL,HELZ2,BRIP1,DSN1,NUAK2,RACGAP1,PDCD11,TP53BP2,SYMPK,DHX38,TNRC18,TRPM7,TP53BP1,HIVEP2,SPTBN1,CARMIL1,SETDB1,IQSEC1,XRCC5,SYNRG,XRCC1,PUM1,PAICS,DCLK1,PTK2,SMARCA4,ANLN,POLA1,TPX2,ZZZ3,SNW1,TH,WNK1,CALU,RCOR3,RCOR2,RGL2,BAP1,TOP2A,TOP2B,FKBP15,GBE1,KIF14,HBB,RSF1,BRCA1,BRCA2,SIPA1L3,SH3RF1,COIL,AKAP13,PPP3CA,EPB41L4A,ZMYM3,MIS18BP1,CHMP1A,CNTRL,UIMC1,SH3PXD2B,XPO5,CHAMP1,UFD1,KIF1A,GIT1,DBNL,SYK,PARP2,KIF24,KIF23,HBA1,TOPORS,GAK,CNKSR1,UGDH,ANO1,KIF9,KIF2A,NFX1,KIF2C,MAPT,ARHGEF7,ARHGEF5,DYNC1I2,SP100,SLC20A1,DOT1L,NOL8,NEXN,AKAP1,HIRA,PAK1,CUX1,PLEKHG4B,LMNA,CTNNA1,MSX1,EPS15,REM2,MPZL1,PAK4,MAP4K4,MAP3K2,RANBP2,CD74,GIT2,SVIL,NPM1,MAP3K1,RANBP3,PLEKHA2,HUWE1,ERBIN,PLEKHA6,SORBS1,MLH1,SORBS3,PLEKHA7,PPP1CA,TJP1,RSL1D1,MIS18A,KRT18,HNRNPA2B1,TACC3,HDGF,TRIP12,MPHOSPH8,FOXA1,OTUD4,CRTC2,RTKN,HDLBP,CELSR1,ESPN,PHRF1,EEF1B2,TEPSIN,GRIP1,CCND3,RGS3,NUSAP1,EP300,CAPN1,CMTR1,NOM1,BORA,LIG1,LIG3,LMO7,CDYL,TMEM131,TANC1,ADAM17,TMX2,CCNE1,FANCD2,SPECC1L,TIMELESS,MATR3,RAF1,RPP25,VCL,RAI14,COPA,NOP2,PDS5B,PSEN1,TOR1AIP1,ACACA,CCNB2,COP1,PDZD2,CALD1,CASKIN1,ZC3H18,MYH11,CLSPN,ECT2,FAM83D,GAS2L2,MYH10,PDZD8,GCN1,ANKZF1,IVNS1ABP,SPECC1,SMAD1,KLHDC4,SMAD4,CBX4,ARHGEF38,HMGA1,DNAJC11,SUPT5H,ANKHD1,SSH1,AFDN,DLG1,DNMBP,DIAPH3,KIF18B,NASP,HOOK1,KIF4A,DLG5,ACBD3,USP36,KDM5C,MAST4,CHD8,MAST2,CHD7,TNFAIP2,PSIP1,ARHGEF10L,CHD4,LDB3,YBX1,CHD2,TENT4A,CHTF18,PPP1R9A,ELAVL1,TTC28,CASP8,SIX4,SIX5,RB1CC1,BLNK,SPEG,LRRFIP2,MYBL2,CA9,POLE,POLH,ARHGEF11,KDM6B,RBM17,ABCC4,RBM14,NUP133,USP42,PDE4D,ARHGEF16,CAD,CKAP2,SHROOM3,DDX54,SHROOM1,NAV2,RBL2,LATS2,RBL1,ALS2,TBC1D4,THRAP3,AKT1S1,RBMS1,DOCK1,SHANK2,DDX27,RGS14,TAF9,DDX20,DDX21,LIN9,SAMHD1,ADD3,IWS1,PSMB10,ATAD2B,PDLIM1,PDLIM3,MUC1,RPS6KC1,TRA2B,TRA2A,BUB1,PDLIM7,SPEN,ARFGEF1,KDM4A,ARFGEF2,RRM2,ZNF185,NIFK,ARID3A,LRWD1,DEK,SOD3,U2SURP,TICRR,CAPN13,WEE1,PIKFYVE,LNX1,ACIN1,NUP35
4	PLK1*	12.64	RB1,USP6NL,MDC1,SMC3,MYLK,RABGEF1,PPP4R2,STMN1,GTSE1,DDX17,MED1,PRKCB,DDX11,PRKCA,SCRIB,DICER1,GAPVD1,PHKA2,CD2AP,EML4,BCR,NUP93,RUFY1,DYNC1LI2,ZFYVE19,PRKCQ,HPRT1,NUP98,MYL9,ASF1B,CDCA2,SEH1L,PRKDC,AGAP1,CDCA8,NCAPG,NOLC1,SLAIN2,AGAP3,WDR62,IQGAP1,IQGAP2,HIF1A,PRKCZ,NCAPH,LARP1,EPB41L1,CEP78,BARD1,ABCA1,CDK18,ST13,EIF2AK1,EIF2AK3,NFATC2,LARP7,BRAF,HNRNPK,AGO2,STRN,CDK12,CEP85,HNRNPC,CDK13,EZH2,CPEB4,LIN54,CDKN1A,ATF7IP2,FMN1,EFCAB7,TRIOBP,WDR43,GLI3,TUBA1C,CHAF1B,NIPBL,TUBA1B,CHAF1A,AIFM1,MECOM,NUF2,PBK,RIOK2,CIC,DLGAP5,NDC1,RIPK2,SLC2A10,EPS15L1,BAZ1B,CIT,ZEB1,INCENP,HCLS1,CRYAB,KANK2,TMF1,SRRT,TANK,RECQL4,PPP1R2,WRN,TCOF1,SRP72,NSD2,LEO1,USP1,FLNA,MISP,SF3B1,CASP8AP2,ATAD5,KIDINS220,NDE1,ATAD2,CENPE,CENPF,PSMC5,TAOK1,ALMS1,CCDC6,CENPL,MPLKIP,ANKS4B,GOPC,NCAPD3,COL16A1,RIF1,ANKRD35,CTNND1,HJURP,EDC3,RAB44,SALL1,GRB14,SMARCAD1,KPNA2,TLE3,MAP2K1,SUPT16H,TLE1,UBE2E3,FBXW9,CEP131,CDC25C,VRK3,GTF2F1,DGKZ,RNF40,CLIP1,ILF3,NCL,SRSF2,PKP2,PHIP,ROR2,SREK1,SRSF6,UTRN,KANK4,SRSF8,S100A8,KMT2E,ANKRD17,KHDRBS1,KMT2D,BLM,DNMT1,KMT2A,ITPR3,RAP1GAP,KNG1,HSP90B1,RAD51AP1,BCL2L12,SLC9A3R2,KLC4,SLC9A3R1,KLC3,KLC2,ORC1,ATXN7,TPR,UBR5,ORC2,SAFB2,ABL2,MAP3K21,ZNF423,MAP2K6,FANCI,FANCM,ZBTB16,EEF2,NDC80,ZC3HC1,IBTK,REEP4,BCL3,NF1,EIF4G2,EIF4G1,NUMA1,RNF14,CEP164,MCM10,CDC73,SYNE2,PTBP1,EXO1,PPP1R13L,DNMT3B,UBTF,CEP170,SPDL1,ATP7A,BCAS3,EIF5B,PDCD6IP,PPP1R12A,DST,CEP295,ATRX,COBL,SMC1A,RANGAP1,ARFGAP1,ADRA2A,ARFGAP2,ASPM,DNAJC1,TRAF4,MCM3,MCM4,MCM6,PPP1R12B,DTL,MET,MCM2,RAB1A,UHRF1,HDAC1,U2AF1,ABLIM1,HECTD1,HIRIP3,POLR2A,U2AF2,KATNA1,RBBP6,HNRNPA1,EIF4B,E2F8,HNRNPA0,MLXIP,PTPN1,CDC42BPG,PTPN11,MYO19,APC,PRC1,CROCC,SPAG1,CEP162,PTPN6,CEBPZ,ATXN10,PTPN3,NECTIN1,ZMYND8,ULK4,IFIT5,CBLB,MKI67,CDC20,GOLGA2,GOLGA5,TRIM28,SAP130,TRIM25,FBXO6,TNS3,SOX4,TNS2,EPHB3,TMPO,TNS1,SMARCC1,KRT8,MTUS1,ANK2,ESCO2,KNL1,ANK3,KRT5,RUNX3,ULK1,SIK2,KIF20A,TRIM16,LLGL2,GRB7,TBC1D9B,EPB41,SP140,CTR9,MYL12A,BRIP1,DSN1,NUAK2,RACGAP1,MAP2,TP53BP2,SYMPK,TP53BP1,MAP4,HIVEP2,SPTBN1,SPTBN2,SETDB1,XRCC5,XRCC1,PAICS,DCLK1,PTK2,WAPL,SMARCA4,ANLN,POLA1,TPX2,SNW1,PTK7,MYO5B,GOLGB1,CALU,RCOR3,RCOR2,TOP2A,TOP2B,AHCTF1,PPP1R10,KIF14,RSF1,BRCA1,BRCA2,SH3RF1,AKAP12,AKAP13,PPP3CA,MIS18BP1,CNTRL,UIMC1,CHMP1A,XPO5,CHAMP1,UFD1,SEC61B,KIF1A,GIT1,DBNL,SYK,PARP2,KIF24,KIF23,PRPF40A,TOPORS,GAK,KIF9,KIF2A,NFX1,KIF2C,ARHGEF2,MAPT,DYNC1I2,SP100,DOT1L,HIRA,PAK1,CUX1,LMNA,MSX1,EPS15,REM2,PAK4,MAP4K4,MAP3K2,RANBP2,CD74,GIT2,SVIL,NPM1,MAP3K1,RANBP3,HUWE1,AP3D1,MLH1,PPP1CA,TJP1,MIS18A,KRT18,HNRNPA2B1,TACC3,HDGF,TRIP12,MPHOSPH8,FOXA1,CRTC2,ESPN,CCND3,TBC1D30,CWC22,NUSAP1,EP300,CAPN1,BORA,LIG1,SLX4IP,LIG3,TANC1,ADAM17,CCNE1,FANCD2,TIMELESS,RAF1,VCL,RAI14,COPA,ARHGEF25,PDS5B,SLC1A5,ARHGAP12,CCNB2,COP1,CASKIN1,NLRP2,MYH14,MYH11,CLSPN,ECT2,FAM83D,MYH10,ANKZF1,IVNS1ABP,SMAD1,SMAD4,CPSF6,HMGA1,ANKHD1,SSH1,AFDN,ARHGAP32,DLG1,MAVS,DIAPH3,KIF18B,DNMBP,HOOK2,NASP,KIF4A,DLG5,USP36,MAST4,MAST2,CHD8,LMOD1,YBX1,TENT4A,CHTF18,ELAVL1,TTC28,CASP8,RB1CC1,SPEG,MYBL2,POLE,POLH,KDM6B,RBM14,NUP133,PDE4D,CAD,CKAP2,SAFB,ETV6,RBL2,TBC1D1,LATS2,RBL1,TBC1D4,SHANK2,TAF9,DDX21,LIN9,SAMHD1,PSMB10,ATAD2B,PDLIM1,RPS6KC1,BUB1,CLASP2,RRM2,LUM,PDE4DIP,ARID3A,LRWD1,DEK,SOD3,TICRR,WEE1,NUP35,RBMX
